Day of Year,Year,Month,Day,First Hour of Period,Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Sky Cover,Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated
245,2008,9,1,1,FALSE,0.859897172,69,28,7.5,0,10.0,75,8,29.82,0
245,2008,9,1,4,FALSE,0.628534704,69,28,7.5,0,10.0,77,5,29.85,0
245,2008,9,1,7,TRUE,0.397172237,69,28,7.5,0,10.0,70,0,29.89,5418
245,2008,9,1,10,TRUE,0.165809769,69,28,7.5,0,10.0,33,0,29.91,25477
245,2008,9,1,13,TRUE,0.065552699,69,28,7.5,0,10.0,21,3,29.89,30069
245,2008,9,1,16,TRUE,0.296915167,69,28,7.5,0,10.0,20,23,29.85,16280
245,2008,9,1,19,TRUE,0.528277635,69,28,7.5,0,10.0,36,15,29.83,515
245,2008,9,1,22,FALSE,0.759640103,69,28,7.5,0,10.0,49,6,29.86,0
246,2008,9,2,1,FALSE,0.862113402,72,29,6.8,0,10.0,67,6,29.86,0
246,2008,9,2,4,FALSE,0.630154639,72,29,6.8,0,10.0,49,0,29.87,0
246,2008,9,2,7,TRUE,0.398195876,72,29,6.8,0,10.0,54,0,29.9,4939
246,2008,9,2,10,TRUE,0.166237113,72,29,6.8,0,10.0,64,0,29.92,24335
246,2008,9,2,13,TRUE,0.065721649,72,29,6.8,0,10.0,23,9,29.88,29025
246,2008,9,2,16,TRUE,0.297680412,72,29,6.8,0,10.0,30,18,29.84,15408
246,2008,9,2,19,TRUE,0.529639175,72,29,6.8,0,10.0,65,11,29.84,491
246,2008,9,2,22,FALSE,0.761597938,72,29,6.8,0,10.0,75,5,29.85,0
247,2008,9,3,1,FALSE,0.86545925,73,29,7.9,0,10.0,72,6,29.84,0
247,2008,9,3,4,FALSE,0.632600259,73,29,7.9,0,10.0,78,6,29.86,0
247,2008,9,3,7,TRUE,0.399741268,73,29,7.9,0,10.0,63,0,29.88,4854
247,2008,9,3,10,TRUE,0.166882277,73,29,7.9,0,10.0,69,3,29.88,23855
247,2008,9,3,13,TRUE,0.065976714,73,29,7.9,0,10.0,33,10,29.84,28339
247,2008,9,3,16,TRUE,0.298835705,73,29,7.9,0,10.0,27,20,29.81,15308
247,2008,9,3,19,TRUE,0.531694696,73,29,7.9,0,10.0,53,14,29.81,455
247,2008,9,3,22,FALSE,0.764553687,73,29,7.9,0,10.0,70,6,29.85,0
248,2008,9,4,1,FALSE,0.86770428,76,30,6.9,0,10.0,73,0,29.83,0
248,2008,9,4,4,FALSE,0.634241245,76,30,6.9,0,10.0,78,6,29.82,0
248,2008,9,4,7,TRUE,0.40077821,76,30,6.9,0,10.0,70,0,29.84,4750
248,2008,9,4,10,TRUE,0.167315175,76,30,6.9,0,10.0,64,3,29.85,23555
248,2008,9,4,13,TRUE,0.06614786,76,30,6.9,0,10.0,62,6,29.79,27741
248,2008,9,4,16,TRUE,0.299610895,76,30,6.9,0,10.0,30,15,29.75,14917
248,2008,9,4,19,TRUE,0.53307393,76,30,6.9,0,10.0,27,17,29.74,429
248,2008,9,4,22,FALSE,0.766536965,76,30,6.9,0,10.0,33,5,29.77,0
249,2008,9,5,1,FALSE,0.869791667,77,29,8.5,0,10.0,53,3,29.77,0
249,2008,9,5,4,FALSE,0.635416667,77,29,8.5,0,10.0,70,7,29.76,0
249,2008,9,5,7,TRUE,0.401041667,77,29,8.5,0,10.0,61,0,29.8,4804
249,2008,9,5,10,TRUE,0.166666667,77,29,8.5,0,10.0,64,3,29.82,23551
249,2008,9,5,13,TRUE,0.067708333,77,29,8.5,0,10.0,49,5,29.78,27963
249,2008,9,5,16,TRUE,0.302083333,77,29,8.5,0,10.0,19,22,29.75,14980
249,2008,9,5,19,TRUE,0.536458333,77,29,8.5,0,10.0,51,15,29.76,423
249,2008,9,5,22,FALSE,0.770833333,77,29,8.5,0,10.0,37,8,29.79,0
250,2008,9,6,1,FALSE,0.870925684,75,30,8.6,1,10.0,57,6,29.78,0
250,2008,9,6,4,FALSE,0.636245111,75,30,8.6,1,10.0,73,3,29.78,0
250,2008,9,6,7,TRUE,0.401564537,75,30,8.6,1,10.0,52,3,29.81,4562
250,2008,9,6,10,TRUE,0.166883963,75,30,8.6,1,10.0,66,3,29.82,22761
250,2008,9,6,13,TRUE,0.06779661,75,30,8.6,0,10.0,29,16,29.79,28193
250,2008,9,6,16,TRUE,0.302477184,75,30,8.6,0,10.0,39,18,29.75,14835
250,2008,9,6,19,TRUE,0.537157757,75,30,8.6,0,10.0,57,14,29.74,375
250,2008,9,6,22,FALSE,0.771838331,75,30,8.6,0,10.0,65,8,29.76,0
251,2008,9,7,1,FALSE,0.873036649,62,29,14.9,1,10.0,81,8,29.76,0
251,2008,9,7,4,FALSE,0.637434555,62,29,14.9,1,10.0,87,7,29.74,0
251,2008,9,7,7,TRUE,0.401832461,62,29,14.9,1,10.0,84,8,29.76,2963
251,2008,9,7,10,TRUE,0.166230366,62,29,14.9,1,10.0,68,14,29.77,24553
251,2008,9,7,13,TRUE,0.069371728,62,29,14.9,1,10.0,61,22,29.73,29986
251,2008,9,7,16,TRUE,0.304973822,62,29,14.9,1,10.0,70,25,29.71,15403
251,2008,9,7,19,TRUE,0.540575916,62,29,14.9,1,10.0,87,22,29.73,379
251,2008,9,7,22,FALSE,0.77617801,62,29,14.9,1,10.0,90,13,29.75,0
252,2008,9,8,1,FALSE,0.875328084,64,31,5.8,3,10.0,90,7,29.76,0
252,2008,9,8,4,FALSE,0.639107612,64,31,5.8,4,10.0,87,5,29.75,0
252,2008,9,8,7,TRUE,0.402887139,64,31,5.8,4,9.0,87,0,29.77,249
252,2008,9,8,10,TRUE,0.166666667,64,31,5.8,1,9.0,73,5,29.78,9910
252,2008,9,8,13,TRUE,0.069553806,64,31,5.8,1,10.0,59,10,29.75,28515
252,2008,9,8,16,TRUE,0.305774278,64,31,5.8,1,10.0,61,14,29.7,17490
252,2008,9,8,19,TRUE,0.541994751,64,31,5.8,1,10.0,73,6,29.72,773
252,2008,9,8,22,FALSE,0.778215223,64,31,5.8,1,10.0,87,6,29.75,0
253,2008,9,9,1,FALSE,0.878787879,63,21,10.5,3,10.0,84,7,29.76,0
253,2008,9,9,4,FALSE,0.641633729,63,21,10.5,3,10.0,78,7,29.75,0
253,2008,9,9,7,TRUE,0.404479578,63,21,10.5,4,10.0,81,8,29.78,65
253,2008,9,9,10,TRUE,0.167325428,63,21,10.5,4,10.0,73,5,29.8,5219
253,2008,9,9,13,TRUE,0.069828722,63,21,10.5,1,10.0,63,15,29.76,10789
253,2008,9,9,16,TRUE,0.306982872,63,21,10.5,1,10.0,68,20,29.74,5208
253,2008,9,9,19,TRUE,0.544137022,63,21,10.5,1,10.0,78,7,29.74,60
253,2008,9,9,22,FALSE,0.781291173,63,21,10.5,3,10.0,81,13,29.76,0
254,2008,9,10,1,FALSE,0.880952381,64,28,9.7,3,10.0,81,7,29.76,0
254,2008,9,10,4,FALSE,0.642857143,64,28,9.7,4,10.0,81,7,29.77,0
254,2008,9,10,7,TRUE,0.404761905,64,28,9.7,4,10.0,78,7,29.8,1346
254,2008,9,10,10,TRUE,0.166666667,64,28,9.7,3,10.0,68,3,29.84,18380
254,2008,9,10,13,TRUE,0.071428571,64,28,9.7,1,10.0,59,16,29.81,28891
254,2008,9,10,16,TRUE,0.30952381,64,28,9.7,1,10.0,63,18,29.8,14687
254,2008,9,10,19,TRUE,0.547619048,64,28,9.7,1,10.0,81,15,29.82,345
254,2008,9,10,22,FALSE,0.785714286,64,28,9.7,1,10.0,84,8,29.85,0
255,2008,9,11,1,FALSE,0.883289125,61,29,11.4,2,10.0,87,10,29.85,0
255,2008,9,11,4,FALSE,0.644562334,61,29,11.4,4,10.0,87,3,29.85,0
255,2008,9,11,7,TRUE,0.405835544,61,29,11.4,4,8.0,84,3,29.87,292
255,2008,9,11,10,TRUE,0.167108753,61,29,11.4,2,10.0,73,3,29.87,10767
