,date,ric,nat,pl,em,ml,rie,g75µ,g45µ,sba,r1_iram1622,r2_iram1622,r3_iram1622,r7_iram1622,r28_iram1622,r91_iram1622,pf,so3,mgo,sio2,fe2o3,caot,al2o3,na2o,k2o
0,2018-01-02,7707ST,AC,3,LML,3,7707ST,0.34,4.22,396.0,,31.3,,50.1,61.8,,1.83,2.89,0.99,22.16,4.6,60.98,4.86,0.1,1.14
1,2018-01-02,7702ST,AC,2,LML,2,7702ST,0.68,4.45,399.0,19.1,32.2,37.9,49.4,60.5,,1.58,2.88,0.71,22.62,4.08,61.09,4.58,0.13,1.01
2,2018-01-05,7722ST,AC,2,LML,2,7722ST,0.68,4.45,399.0,,32.0,,47.4,61.5,,1.83,2.9,0.9,22.76,4.49,61.9,4.69,0.12,1.02
3,2018-01-07,7726ST,AC,3,LML,3,7726ST,0.81,4.59,394.0,,29.9,,46.2,60.1,,1.97,2.84,0.72,22.45,4.08,61.75,4.57,0.12,1.02
4,2018-01-08,7729ST,AC,2,LML,2,7729ST,0.38,3.46,392.0,17.5,30.1,35.8,47.3,58.5,,2.01,2.85,0.69,22.67,4.16,61.07,4.64,0.13,1.04
5,2018-01-09,7771ST,AC,3,LML,3,7771ST,0.42,3.64,411.0,,30.8,,45.6,58.0,,1.88,2.91,0.69,22.61,4.13,61.29,4.64,0.13,1.07
6,2018-01-10,7725ST,AC,2,LML,2,7725ST,0.62,4.75,440.0,,30.5,,44.0,55.2,,2.81,2.9,0.69,22.4,4.55,62.26,4.73,0.12,1.0
7,2018-01-12,7728ST,AC,2,LML,2,7728ST,0.3,4.02,423.0,,31.2,,44.1,57.3,,2.21,2.99,0.73,22.48,4.09,60.74,4.75,0.13,1.32
8,2018-01-14,7756ST,AC,2,LML,2,7756ST,0.34,3.22,411.0,,30.4,,46.0,57.0,,1.97,2.91,0.71,22.69,4.03,60.69,4.27,0.13,1.26
9,2018-01-15,7761ST,AC,3,LML,3,7761ST,0.5,3.77,401.0,,30.2,,44.9,57.5,,1.96,2.86,0.67,22.44,4.48,60.8,4.69,0.14,1.2
10,2018-01-16,7762ST,AC,2,LML,2,7762ST,0.17,2.47,405.0,17.1,30.0,35.0,45.5,56.7,,2.15,2.88,0.72,21.7,4.66,61.9,4.79,0.11,1.2
11,2018-01-17,7765ST,AC,3,LML,3,7765ST,0.29,3.59,400.0,,31.1,,46.8,57.9,,2.32,2.82,0.71,22.23,4.06,61.55,4.54,0.12,0.99
12,2018-01-19,7781ST,AC,2,LML,2,7781ST,0.34,3.11,424.0,,32.1,,49.2,59.4,,2.08,2.91,0.72,22.63,4.13,60.76,4.68,0.13,0.98
13,2018-01-21,7792ST,AC,3,LML,3,7792ST,0.53,2.23,419.0,,30.7,,48.3,58.7,,1.94,2.84,0.72,22.75,4.12,61.23,4.68,0.13,0.96
14,2018-01-22,7797ST,AC,2,LML,2,7797ST,0.58,2.74,416.0,,31.4,,47.7,60.3,,1.83,2.88,0.79,22.54,4.1,61.0,4.7,0.09,1.11
15,2018-01-23,7201ST,AC,2,LML,2,7201ST,0.24,2.21,415.0,17.0,29.5,34.8,45.0,59.2,,1.95,2.9,0.74,20.71,4.19,60.8,4.77,0.13,0.9
16,2018-01-23,7202ST,AC,3,LML,3,7202ST,0.27,2.28,410.0,,29.7,,45.1,57.8,,1.95,2.88,0.69,22.46,4.26,61.29,4.68,0.11,0.89
17,2018-01-26,7211ST,AC,3,LML,3,7211ST,0.24,2.22,417.0,,29.9,,43.7,57.7,,2.38,2.88,0.67,22.29,4.23,61.09,4.6,0.13,0.79
18,2018-01-26,7212ST,AC,2,LML,2,7212ST,0.21,2.26,401.0,,33.6,,50.2,58.4,,2.31,2.85,0.7,22.47,4.21,60.89,4.68,0.13,0.83
19,2018-01-28,7218ST,AC,2,LML,2,7218ST,0.15,2.86,418.0,,29.8,,45.2,56.9,,2.15,2.89,0.7,22.72,4.08,60.95,4.77,0.13,1.12
20,2018-01-29,7227ST,AC,3,LML,3,7227ST,0.33,3.22,405.0,,30.0,,44.7,59.1,,2.09,2.92,0.69,22.5,4.11,61.52,4.69,0.13,1.02
21,2018-01-30,7227ST,AC,2,LML,2,7227ST,0.22,3.1,417.0,18.4,29.4,34.3,45.5,57.7,,2.25,2.89,0.68,22.59,4.07,60.66,4.71,0.12,1.12
22,2018-01-31,7272ST,AC,3,LML,3,7272ST,0.32,3.2,412.0,,27.5,,42.7,59.4,,2.19,2.92,0.77,22.19,4.49,60.84,4.64,0.13,1.16
23,2018-02-02,7276ST,AC,2,LML,2,7276ST,0.33,3.58,415.0,,30.7,,45.6,57.1,,1.83,2.94,0.67,22.68,4.12,60.85,4.71,0.13,1.09
24,2018-02-04,7281ST,AC,3,LML,3,7281ST,0.42,3.04,407.0,,28.1,,43.0,58.1,,1.99,2.88,0.63,22.66,4.2,60.8,4.59,0.13,0.99
25,2018-02-05,7287ST,AC,2,LML,2,7287ST,0.38,3.03,409.0,,30.1,,47.1,58.4,,2.19,2.9,0.7,22.55,4.49,61.48,4.7,0.13,0.96
26,2018-02-06,7291ST,AC,2,LML,2,7291ST,0.41,2.99,411.0,17.3,30.2,35.8,43.8,56.5,,1.97,2.89,0.9,22.66,4.52,61.91,4.86,0.14,0.98
27,2018-02-06,7292ST,AC,3,LML,3,7292ST,0.34,2.42,405.0,,28.8,,44.5,57.6,,2.13,2.92,0.96,21.98,4.8,62.42,4.9,0.14,0.89
28,2018-02-09,7299ST,AC,2,LML,2,7299ST,0.41,2.52,411.0,,29.4,,45.0,58.3,,2.62,2.9,0.88,22.49,4.77,62.9,4.86,0.13,1.05
29,2018-02-09,7502ST,AC,3,LML,3,7502ST,0.41,2.49,417.0,,28.7,,45.0,55.5,,2.44,2.89,0.9,22.46,4.79,60.98,4.9,0.14,1.0
30,2018-02-11,7505ST,AC,3,LML,3,7505ST,0.38,2.6,430.0,,31.3,,46.5,59.4,,2.04,2.9,0.86,21.9,4.55,61.86,4.85,0.13,0.99
31,2018-02-12,7511ST,AC,2,LML,2,7511ST,0.29,2.45,407.0,,29.5,,44.6,55.4,,1.9,2.9,0.7,22.46,4.55,60.44,4.77,0.1,1.14
32,2018-02-14,7515ST,AC,2,LML,2,7515ST,0.32,2.38,417.0,16.3,30.2,35.0,45.3,57.9,,2.41,2.86,0.69,21.68,4.49,61.9,4.69,0.11,1.2
33,2018-02-14,7516ST,AC,3,LML,3,7516ST,0.3,2.52,410.0,,28.1,,41.0,52.9,,1.69,2.9,0.72,21.87,4.49,60.88,4.76,0.14,1.2
34,2018-02-16,7521ST,AC,2,LML,2,7521ST,0.22,2.71,400.0,,28.5,,43.4,58.6,,2.32,2.82,0.62,22.67,4.24,60.77,4.63,0.13,0.94
35,2018-02-18,7526ST,AC,3,LML,3,7526ST,0.26,2.8,406.0,,27.1,,43.0,54.4,,1.72,2.72,0.58,22.43,4.21,59.92,4.57,0.13,0.9
36,2018-02-19,7572ST,AC,2,LML,2,7572ST,0.24,2.67,409.0,,26.1,,42.6,55.6,,2.04,2.82,0.67,21.66,4.28,60.09,4.64,0.14,0.9
37,2018-02-20,7577ST,AC,2,LML,2,7577ST,0.12,2.52,427.0,12.1,28.7,34.6,46.6,55.4,,2.09,2.91,0.62,22.43,4.38,60.08,4.57,0.13,0.93
38,2018-02-20,7521ST,AC,3,LML,3,7521ST,0.22,2.9,409.0,,24.8,,40.7,53.1,,1.76,2.9,0.63,22.73,4.39,60.42,4.65,0.13,0.98
39,2018-02-21,7525ST,AC,2,LML,2,7525ST,0.58,2.15,418.0,,27.1,,44.8,56.8,,2.08,2.8,0.7,21.9,4.39,60.89,4.77,0.14,0.97
40,2018-02-21,7527ST,AC,3,LML,3,7527ST,0.3,2.89,417.0,,27.5,,44.5,55.2,,2.01,2.87,0.71,22.16,4.44,61.9,4.69,0.14,0.87
41,2018-02-23,7528ST,AC,2,LML,2,7528ST,0.22,1.9,407.0,,31.7,,47.1,59.3,,1.76,2.89,0.64,22.66,4.6,60.88,4.69,0.13,0.89
42,2018-02-23,7529ST,AC,3,LML,3,7529ST,0.17,2.11,413.0,,30.1,,45.8,58.2,,1.93,2.91,0.7,22.49,4.48,61.98,4.59,0.13,0.9
43,2018-02-25,7552ST,AC,2,LML,2,7552ST,0.19,1.97,406.0,,33.4,,49.6,63.5,,1.87,2.96,0.65,21.62,4.2,62.52,4.33,0.12,0.93
44,2018-02-28,7566ST,AC,2,LML,2,7566ST,0.3,2.16,414.0,21.1,34.1,39.1,46.8,62.0,,2.09,2.81,0.62,21.59,4.18,62.1,4.35,0.12,0.95
45,2018-02-28,7571ST,AC,3,LML,3,7571ST,0.22,2.0,402.0,,33.8,,49.2,63.2,,1.7,2.87,0.67,22.4,4.19,62.1,4.45,0.12,0.9
46,2018-03-01,7577ST,AC,2,LML,2,7577ST,0.27,1.9,411.0,15.8,28.6,,43.9,54.7,,1.78,2.94,0.65,22.61,4.28,61.05,4.7,0.13,1.16
47,2018-03-01,7579ST,AC,3,LML,3,7579ST,0.4,2.05,399.0,16.4,28.9,,44.7,56.2,,1.98,2.83,0.64,22.6,4.26,61.05,4.72,0.13,1.15
48,2018-03-02,7578ST,AC,2,LML,2,7578ST,0.42,2.1,398.0,16.0,28.0,,45.0,57.8,,1.83,2.87,0.65,22.8,4.25,60.49,4.78,0.13,1.15
49,2018-03-02,7580ST,AC,3,LML,3,7580ST,0.35,2.3,403.0,16.5,29.3,,43.8,57.0,,1.76,2.95,0.64,22.73,4.23,60.41,4.77,0.13,1.21
50,2018-03-03,7585ST,AC,2,LML,2,7585ST,0.17,2.2,402.0,22.3,33.3,,49.3,60.9,,1.64,2.86,0.63,21.53,4.16,61.69,4.43,0.12,1.0
51,2018-03-03,7586ST,AC,3,LML,3,7586ST,0.19,2.26,406.0,22.6,33.3,,49.8,61.5,,1.68,2.87,0.67,21.55,4.17,62.57,4.38,0.12,0.94
52,2018-03-04,7587ST,AC,2,LML,2,7587ST,0.14,2.19,411.0,,33.6,,50.8,61.1,,1.95,2.88,0.67,22.46,4.1,61.25,4.6,0.13,1.14
53,2018-03-04,7588ST,AC,3,LML,3,7588ST,0.29,2.27,408.0,,34.5,,49.8,61.0,,2.03,2.85,0.66,21.61,4.11,62.3,4.36,0.13,0.98
54,2018-03-05,7595ST,AC,2,LML,2,7595ST,0.18,2.3,405.0,,32.2,,49.4,61.3,,1.8,2.84,0.66,22.35,4.29,61.04,4.52,0.13,0.96
55,2018-03-05,7596ST,AC,3,LML,3,7596ST,0.15,2.25,400.0,,32.8,,50.2,64.0,,1.75,2.89,0.69,22.17,4.47,60.95,4.59,0.14,0.98
56,2018-03-06,7600ST,AC,3,LML,3,7600ST,0.26,2.82,413.0,,30.5,,47.3,60.2,,1.93,2.88,0.65,22.46,4.14,61.44,4.63,0.13,1.07
57,2018-03-07,7599ST,AC,2,LML,2,7599ST,0.1,2.15,418.0,20.0,32.0,35.4,48.3,58.3,,1.76,2.8,0.68,22.64,4.24,61.1,4.66,0.14,1.03
58,2018-03-07,7606ST,AC,2,LML,2,7606ST,0.42,2.65,425.0,,33.1,,50.3,59.8,,1.74,2.9,0.67,22.49,4.16,61.18,4.66,0.13,1.18
59,2018-03-09,7622ST,AC,3,LML,3,7622ST,0.32,2.46,414.0,,33.8,,47.9,60.2,,1.64,2.86,0.65,22.5,4.21,61.32,4.59,0.13,1.04
60,2018-03-11,7627ST,AC,2,LML,2,7627ST,0.26,1.9,408.0,,33.9,,49.7,60.9,,1.93,2.91,0.66,22.6,4.49,61.49,4.61,0.13,0.77
61,2018-03-12,7675ST,AC,3,LML,3,7675ST,0.19,1.98,402.0,,30.4,,46.4,58.5,,1.84,2.92,0.65,22.45,4.27,61.35,4.53,0.13,0.85
