Compound,A,B,In literature,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ,Lowest distortion
Ac2O3,Ac,Ac,FALSE,0,0,1.12,1.12,1.12,1.1,1.1,0,0,-3.248,0.707106781,-,0.8,cubic
AcAgO3,Ac,Ag,FALSE,0,0,1.12,1.12,0.95,1.1,1.93,0,2.488353231,-2.565071429,0.758259187,-,0.678571429,orthorhombic
AcAlO3,Ac,Al,FALSE,0,0,1.12,1.12,0.54,1.1,1.61,0,1.892894405,-1.846714286,0.918509839,-,0.385714286,cubic
AcAsO3,Ac,As,FALSE,0,0,1.12,1.12,0.52,1.1,2.18,0,1.932227032,-1.577428571,0.92807765,-,0.371428571,orthorhombic
AcAuO3,Ac,Au,FALSE,0,0,1.12,1.12,0.93,1.1,2.54,0,2.31369847,-2.279785714,0.764767849,-,0.664285714,orthorhombic
AcBO3,Ac,B,FALSE,0,0,1.12,1.12,0.27,1.1,2.04,0,1.624661665,-1.117357143,1.06701143,-,0.192857143,cubic
AcBaO3,Ac,Ba,FALSE,0,0,1.12,1.12,1.35,1.1,0.89,0,2.64009357,-3.806785714,0.647966941,-,0.964285714,orthorhombic
AcBeO3,Ac,Be,FALSE,0,0,1.12,1.12,0.45,1.1,1.57,0,1.803349248,-1.676928571,0.963194102,-,0.321428571,cubic
AcBiO3,Ac,Bi,FALSE,0,0,1.12,1.12,0.9,1.1,2.02,0,2.215655462,-2.425857143,0.774743082,-,0.642857143,orthorhombic
AcCaO3,Ac,Ca,FALSE,0,0,1.12,1.12,1,1.1,1,0,2.318139449,-3.040285714,0.74246212,-,0.714285714,orthorhombic
AcCdO3,Ac,Cd,FALSE,0,0,1.12,1.12,0.95,1.1,1.69,0,2.286435201,-2.661071429,0.758259187,-,0.678571429,orthorhombic
AcCeO3,Ac,Ce,FALSE,0,0,1.12,1.12,0.94,1.1,1.12,0,2.268642439,-2.868428571,0.761499611,-,0.671428571,cubic
AcCoO3,Ac,Co,FALSE,0,0,1.12,1.12,0.63,1.1,1.88,0,1.930310969,-1.9245,0.877787728,-,0.45,rhombohedral
AcCrO3,Ac,Cr,FALSE,0,0,1.12,1.12,0.58,1.1,1.66,0,1.960053288,-1.909285714,0.899954085,-,0.414285714,orthorhombic
AcCsO3,Ac,Cs,FALSE,0,0,1.12,1.12,1.67,1.1,0.79,0,3.009747218,-4.507357143,0.580426413,-,1.192857143,tetragonal
AcCuO3,Ac,Cu,FALSE,0,0,1.12,1.12,0.68,1.1,1.9,0,2.005573846,-2.019714286,0.856687062,-,0.485714286,orthorhombic
AcDyO3,Ac,Dy,FALSE,0,0,1.12,1.12,0.99,1.1,1.22,0,2.255580699,-2.931642857,0.745568656,-,0.707142857,orthorhombic
AcErO3,Ac,Er,FALSE,0,0,1.12,1.12,0.89,1.1,1.24,0,2.250676638,-2.717214286,0.77812624,-,0.635714286,orthorhombic
AcEuO3,Ac,Eu,FALSE,0,0,1.12,1.12,1.06,1.1,1.2,0,2.354367494,-3.084142857,0.724353288,-,0.757142857,orthorhombic
AcFeO3,Ac,Fe,FALSE,0,0,1.12,1.12,0.67,1.1,1.83,0,1.999521816,-2.027071429,0.860825647,-,0.478571429,orthorhombic
AcGaO3,Ac,Ga,FALSE,0,0,1.12,1.12,0.62,1.1,1.81,0,1.974643898,-1.931857143,0.882133212,-,0.442857143,orthorhombic
AcGdO3,Ac,Gd,FALSE,0,0,1.12,1.12,0.94,1.1,1.2,0,2.28415608,-2.836428571,0.761499611,-,0.671428571,orthorhombic
AcGeO3,Ac,Ge,FALSE,0,0,1.12,1.12,0.63,1.1,2.01,0,1.899964183,-1.8725,0.877787728,-,0.45,orthorhombic
AcHfO3,Ac,Hf,FALSE,0,0,1.12,1.12,0.71,1.1,1.3,0,2.027412322,-2.321642857,0.844506677,-,0.507142857,orthorhombic
AcHgO3,Ac,Hg,FALSE,0,0,1.12,1.12,1.11,1.1,2,0,2.323654714,-2.867357143,0.70992394,-,0.792857143,orthorhombic
AcHoO3,Ac,Ho,FALSE,0,0,1.12,1.12,0.9,1.1,1.23,0,2.25865608,-2.741857143,0.774743082,-,0.642857143,orthorhombic
AcInO3,Ac,In,FALSE,0,0,1.12,1.12,0.8,1.1,1.78,0,2.147680955,-2.315428571,0.809958677,-,0.571428571,orthorhombic
AcIrO3,Ac,Ir,FALSE,0,0,1.12,1.12,0.63,1.1,2.2,0,2.009082787,-1.7965,0.877787728,-,0.45,orthorhombic
AcKO3,Ac,K,FALSE,0,0,1.12,1.12,1.38,1.1,0.82,0,2.723507129,-3.896714286,0.640974492,-,0.985714286,orthorhombic
AcLaO3,Ac,La,FALSE,0,0,1.12,1.12,1.03,1.1,1.1,0,2.376509378,-3.062214286,0.733295921,-,0.735714286,cubic
AcLiO3,Ac,Li,FALSE,0,0,1.12,1.12,0.76,1.1,0.98,0,2.095547886,-2.552857143,0.824957911,-,0.542857143,cubic
