id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
1,Inasaka,tube,0.39,5600,-0.1041,3.0,3.0,100,11.3
2,Inasaka,tube,0.31,6700,-0.0596,3.0,3.0,100,10.6
3,Inasaka,tube,0.33,4300,-0.0395,3.0,3.0,100,7.3
4,Inasaka,tube,0.62,6400,-0.1460,3.0,3.0,100,12.8
5,Inasaka,tube,0.64,4700,-0.0849,3.0,3.0,100,11.0
6,Inasaka,tube,0.64,6200,-0.1221,3.0,3.0,100,8.2
7,Inasaka,tube,0.91,5500,-0.1224,3.0,3.0,100,15.6
8,Peskov,tube,10.00,1944,-0.0465,10.0,10.0,400,4.2
9,Peskov,tube,10.00,4750,-0.0297,10.0,10.0,660,4.0
10,Peskov,tube,10.00,1000,0.0103,10.0,10.0,565,4.3
11,Peskov,tube,12.00,4986,-0.0629,10.0,10.0,1000,4.0
12,Peskov,tube,12.00,1000,-0.0868,10.0,10.0,565,3.5
13,Peskov,tube,12.00,4028,0.0311,10.0,10.0,1650,2.0
14,Peskov,tube,12.00,2439,0.1103,10.0,10.0,1650,1.4
15,Peskov,tube,14.00,2217,-0.0472,10.0,10.0,520,2.9
16,Peskov,tube,14.00,3056,0.0323,10.0,10.0,890,2.0
17,Peskov,tube,14.00,2200,0.1344,10.0,10.0,893,1.1
18,Peskov,tube,16.00,3861,-0.0514,10.0,10.0,660,3.1
19,Peskov,tube,16.00,1617,-0.0300,10.0,10.0,890,1.7
20,Peskov,tube,16.00,1000,0.1228,10.0,10.0,565,1.1
21,Peskov,tube,18.00,5361,-0.0680,10.0,10.0,1300,2.8
22,Peskov,tube,18.00,2875,-0.1184,10.0,10.0,1650,2.1
23,Peskov,tube,18.00,750,-0.1488,10.0,10.0,1650,0.9
24,Peskov,tube,20.00,1842,-0.2306,10.0,10.0,1650,1.3
25,Thompson,tube,0.10,707,0.1660,1.0,1.0,25,4.9
26,Thompson,tube,0.10,932,0.1109,1.0,1.0,25,5.3
27,Thompson,tube,0.10,1352,0.0523,1.0,1.0,25,5.9
28,Thompson,tube,0.10,1885,0.0258,1.0,1.0,25,7.1
29,Thompson,tube,0.10,2794,0.0128,1.0,1.0,25,9.7
30,Thompson,tube,0.10,3730,0.0086,1.0,1.0,25,12.6
31,Thompson,tube,0.10,5750,0.0077,1.0,1.0,25,19.3
32,Thompson,tube,0.10,1370,0.1293,1.0,1.0,38,5.5
33,Thompson,tube,0.10,1777,0.0825,1.0,1.0,38,5.9
34,Thompson,tube,0.10,2780,0.0406,1.0,1.0,38,7.5
35,Thompson,tube,0.10,3757,0.0328,1.0,1.0,38,9.7
36,Thompson,tube,0.10,5642,0.0344,1.0,1.0,38,14.7
37,Thompson,tube,0.10,1336,0.1904,1.0,1.0,51,4.9
38,Thompson,tube,0.10,1790,0.1417,1.0,1.0,51,5.6
39,Thompson,tube,0.10,2821,0.0864,1.0,1.0,51,7.1
40,Thompson,tube,0.10,3716,0.0633,1.0,1.0,51,8.4
41,Thompson,tube,0.10,5588,0.0547,1.0,1.0,51,12.1
42,Thompson,tube,0.10,1301,0.0967,1.7,1.7,43,6.9
43,Thompson,tube,0.10,2007,0.0644,1.7,1.7,43,9.2
44,Thompson,tube,0.10,1967,0.1405,1.7,1.7,64,8.3
45,Thompson,tube,2.14,5384,0.1854,1.1,1.1,114,4.9
46,Thompson,tube,2.14,6510,-0.0185,1.1,1.1,114,7.3
47,Thompson,tube,2.14,6781,-0.0134,1.1,1.1,114,5.8
48,Thompson,tube,3.45,1316,-0.0592,3.6,3.6,76,9.0
49,Thompson,tube,3.45,1492,0.0049,3.6,3.6,76,8.4
50,Thompson,tube,3.96,2618,0.1937,4.6,4.6,229,6.7
51,Thompson,tube,4.03,2631,0.1312,4.6,4.6,229,6.5
52,Thompson,tube,3.56,2672,0.1554,4.6,4.6,229,7.0
53,Thompson,tube,3.83,2712,0.1609,4.6,4.6,229,6.7
54,Thompson,tube,3.90,2726,0.1682,4.6,4.6,229,6.8
55,Thompson,tube,3.76,2767,0.0892,4.6,4.6,229,8.0
56,Thompson,tube,3.72,2848,0.0611,4.6,4.6,229,9.0
57,Thompson,tube,3.76,2875,0.0281,4.6,4.6,229,8.8
58,Thompson,tube,3.83,2889,0.0666,4.6,4.6,229,8.2
59,Thompson,tube,3.93,3865,0.1332,5.6,5.6,216,7.2
60,Thompson,tube,3.96,3865,0.1370,5.6,5.6,216,7.3
61,Thompson,tube,3.83,4136,0.0449,5.6,5.6,216,7.3
62,Thompson,tube,3.86,4136,0.0436,5.6,5.6,216,7.3
63,Thompson,tube,3.86,4069,0.0902,5.6,5.6,432,6.7
64,Thompson,tube,3.86,4069,0.0858,5.6,5.6,432,6.6
65,Thompson,tube,3.86,4136,0.1294,5.6,5.6,432,5.5
66,Thompson,tube,3.90,4136,0.1282,5.6,5.6,432,5.5
67,Thompson,tube,3.45,5249,-0.0480,5.7,5.7,625,8.6
68,Thompson,tube,3.45,5249,-0.0739,5.7,5.7,625,8.5
69,Thompson,tube,3.45,5249,-0.0497,5.7,5.7,625,7.9
70,Thompson,tube,3.45,5249,-0.0429,5.7,5.7,625,7.4
71,Thompson,tube,3.45,5249,-0.0589,5.7,5.7,625,7.9
72,Thompson,tube,3.45,5249,-0.0195,5.7,5.7,625,7.2
73,Thompson,tube,3.45,5249,-0.0254,5.7,5.7,625,7.1
74,Thompson,tube,3.45,5262,0.0287,5.7,5.7,625,6.0
75,Thompson,tube,3.45,3743,0.1487,10.3,10.3,762,4.3
76,Thompson,tube,3.45,3743,0.1530,10.3,10.3,762,4.4
77,Thompson,tube,3.45,3757,0.1522,10.3,10.3,762,4.4
78,Thompson,tube,3.45,3784,0.1466,10.3,10.3,762,4.3
79,Thompson,tube,3.45,3784,0.1508,10.3,10.3,762,4.4
80,Thompson,tube,3.45,3784,0.1508,10.3,10.3,762,4.4
81,Thompson,tube,3.45,3797,0.1457,10.3,10.3,762,4.3
82,Thompson,tube,3.45,3811,0.1494,10.3,10.3,762,4.4
83,Thompson,tube,3.45,3811,0.1494,10.3,10.3,762,4.4
84,Thompson,tube,3.45,3811,0.1450,10.3,10.3,762,4.3
85,Thompson,tube,3.45,3811,0.1494,10.3,10.3,762,4.4
86,Thompson,tube,3.45,3838,0.1440,10.3,10.3,762,4.3
87,Thompson,tube,3.45,3879,0.1460,10.3,10.3,762,4.4
88,Thompson,tube,3.45,3879,0.1460,10.3,10.3,762,4.4
89,Thompson,tube,3.45,3892,0.1454,10.3,10.3,762,4.4
90,Thompson,tube,3.45,3906,0.1447,10.3,10.3,762,4.4
91,Thompson,tube,3.45,3933,0.1434,10.3,10.3,762,4.4
92,Thompson,tube,3.45,3947,0.0867,10.3,10.3,762,4.6
93,Thompson,tube,3.45,3947,0.1427,10.3,10.3,762,4.4
94,Thompson,tube,3.45,3960,0.0818,10.3,10.3,762,4.5
95,Thompson,tube,3.45,3960,0.0861,10.3,10.3,762,4.6
96,Thompson,tube,3.45,4001,0.1402,10.3,10.3,762,4.4
97,Thompson,tube,3.45,5696,0.0854,10.3,10.3,762,4.4
98,Thompson,tube,3.45,5696,0.0883,10.3,10.3,762,4.5
99,Thompson,tube,3.45,5737,0.0874,10.3,10.3,762,4.5
100,Thompson,tube,3.45,5886,0.0221,10.3,10.3,762,4.6
101,Thompson,tube,3.45,5940,0.0209,10.3,10.3,762,4.6
102,Thompson,tube,3.45,5954,0.0206,10.3,10.3,762,4.6
103,Thompson,tube,3.45,5967,0.0203,10.3,10.3,762,4.6
104,Thompson,tube,3.45,7554,0.0601,10.3,10.3,762,4.7
105,Thompson,tube,3.45,7622,0.0591,10.3,10.3,762,4.7
106,Thompson,tube,3.45,7893,-0.0071,10.3,10.3,762,4.8
107,Thompson,tube,3.45,7893,-0.0178,10.3,10.3,762,4.3
108,Thompson,tube,3.45,7893,-0.0071,10.3,10.3,762,4.8
109,Thompson,tube,3.45,7893,-0.0071,10.3,10.3,762,4.8
110,Thompson,tube,3.86,2034,0.1671,10.8,10.8,432,5.3
111,Thompson,tube,3.86,2034,0.1440,10.8,10.8,432,5.6
112,Thompson,tube,3.90,2034,0.1383,10.8,10.8,432,5.5
113,Thompson,tube,3.90,2034,0.1383,10.8,10.8,432,5.5
114,Thompson,tube,3.90,2034,0.1113,10.8,10.8,432,5.7
115,Thompson,tube,3.86,3797,0.1078,10.8,10.8,432,5.3
116,Thompson,tube,3.93,3797,0.1050,10.8,10.8,432,5.3
117,Thompson,tube,3.86,4069,0.0117,10.8,10.8,432,5.4
118,Thompson,tube,3.86,4069,0.0117,10.8,10.8,432,5.4
119,Thompson,tube,3.86,4069,-0.0237,10.8,10.8,432,5.5
120,Thompson,tube,3.86,4123,0.0379,10.8,10.8,432,5.0
121,Thompson,tube,3.86,4123,0.0424,10.8,10.8,432,5.2
122,Thompson,tube,3.86,4136,0.0902,10.8,10.8,432,5.2
123,Thompson,tube,3.90,4136,0.0887,10.8,10.8,432,5.2
124,Thompson,tube,4.10,2902,0.1788,10.8,10.8,864,3.7
125,Thompson,tube,3.83,3811,0.1407,10.8,10.8,864,3.9
126,Thompson,tube,3.90,3811,0.1394,10.8,10.8,864,3.9
127,Thompson,tube,3.90,3974,0.1316,10.8,10.8,864,3.9
128,Thompson,tube,3.96,3974,0.1272,10.8,10.8,864,3.8
129,Thompson,tube,3.69,4055,0.0817,10.8,10.8,864,4.2
130,Thompson,tube,3.72,4055,0.0804,10.8,10.8,864,4.2
131,Thompson,tube,3.90,4055,0.0751,10.8,10.8,864,4.2
132,Thompson,tube,4.10,4055,0.0618,10.8,10.8,864,3.9
133,Thompson,tube,4.21,4055,0.0502,10.8,10.8,864,3.8
134,Thompson,tube,3.90,4069,0.0184,10.8,10.8,864,5.1
135,Thompson,tube,5.03,5059,0.0623,4.6,4.6,295,5.6
136,Thompson,tube,4.96,3703,0.1978,5.6,5.6,432,4.3
137,Thompson,tube,5.03,3703,0.1951,5.6,5.6,432,4.2
138,Thompson,tube,4.96,4204,0.0465,5.6,5.6,432,5.9
139,Thompson,tube,4.93,4218,0.0426,5.6,5.6,432,5.8
140,Thompson,tube,5.07,4218,0.1459,5.6,5.6,864,4.1
141,Thompson,tube,6.89,1316,-0.0416,3.6,3.6,76,8.0
142,Thompson,tube,6.89,2889,-0.1650,3.6,3.6,76,10.6
143,Thompson,tube,6.89,4042,-0.1916,3.6,3.6,76,11.3
144,Thompson,tube,6.89,6157,-0.1146,3.6,3.6,76,13.3
145,Thompson,tube,7.17,1370,0.1702,4.6,4.6,229,5.6
146,Thompson,tube,7.00,1383,0.1601,4.6,4.6,229,5.7
147,Thompson,tube,7.28,1383,0.1523,4.6,4.6,229,5.8
148,Thompson,tube,6.89,1410,0.1361,4.6,4.6,229,6.6
149,Thompson,tube,6.93,2224,0.1531,4.6,4.6,229,4.8
150,Thompson,tube,6.93,2401,0.1356,4.6,4.6,229,4.8
151,Thompson,tube,7.03,2441,0.1857,4.6,4.6,229,5.1
152,Thompson,tube,7.14,2495,0.1261,4.6,4.6,229,4.6
153,Thompson,tube,7.07,2509,0.1085,4.6,4.6,229,5.0
154,Thompson,tube,7.34,2550,0.0655,4.6,4.6,229,6.2
155,Thompson,tube,7.00,2590,0.0709,4.6,4.6,229,5.7
156,Thompson,tube,7.26,2590,0.0567,4.6,4.6,229,5.7
157,Thompson,tube,7.03,2780,-0.0477,4.6,4.6,229,7.5
158,Thompson,tube,6.76,2821,-0.0711,4.6,4.6,229,8.0
159,Thompson,tube,7.14,2889,-0.1257,4.6,4.6,229,8.9
160,Thompson,tube,6.89,3065,0.1827,4.7,4.7,318,4.6
161,Thompson,tube,6.89,3201,0.1129,4.7,4.7,318,6.2
162,Thompson,tube,6.89,3282,0.1401,4.7,4.7,318,4.9
163,Thompson,tube,6.89,4448,0.1101,4.7,4.7,318,4.8
164,Thompson,tube,6.89,4584,0.0758,4.7,4.7,318,5.1
165,Thompson,tube,6.89,4828,0.0267,4.7,4.7,318,5.8
166,Thompson,tube,6.89,4964,0.0073,4.7,4.7,318,6.8
167,Thompson,tube,6.89,5045,0.0045,4.7,4.7,318,6.9
168,Thompson,tube,6.89,5967,0.0657,4.7,4.7,318,5.0
169,Thompson,tube,6.89,6157,0.0102,4.7,4.7,318,6.6
170,Thompson,tube,6.89,6157,0.0073,4.7,4.7,318,6.7
171,Thompson,tube,6.89,6279,0.0465,4.7,4.7,318,5.8
172,Thompson,tube,6.89,6388,0.0376,4.7,4.7,318,5.9
173,Thompson,tube,6.86,1926,0.1650,5.6,5.6,216,5.3
174,Thompson,tube,6.93,1926,0.1671,5.6,5.6,216,5.4
175,Thompson,tube,6.89,2061,0.0829,5.6,5.6,216,6.6
176,Thompson,tube,6.96,2061,0.0716,5.6,5.6,216,6.4
177,Thompson,tube,6.93,3323,0.1178,5.6,5.6,216,4.9
178,Thompson,tube,6.93,3323,0.1178,5.6,5.6,216,4.9
179,Thompson,tube,6.89,3852,0.0387,5.6,5.6,216,5.9
180,Thompson,tube,6.93,3852,0.0363,5.6,5.6,216,5.8
181,Thompson,tube,6.89,4150,-0.0668,5.6,5.6,216,7.2
182,Thompson,tube,7.00,2061,0.1894,5.6,5.6,432,4.4
183,Thompson,tube,7.34,2061,0.2006,5.6,5.6,432,4.6
184,Thompson,tube,6.89,3513,0.1877,5.6,5.6,432,3.6
185,Thompson,tube,7.00,3513,0.1888,5.6,5.6,432,3.6
186,Thompson,tube,6.89,3580,0.1798,5.6,5.6,432,3.7
187,Thompson,tube,7.00,3580,0.1714,5.6,5.6,432,3.6
188,Thompson,tube,6.86,3635,0.1447,5.6,5.6,432,3.7
189,Thompson,tube,6.89,3635,0.1432,5.6,5.6,432,3.7
190,Thompson,tube,6.89,3933,0.0773,5.6,5.6,432,4.7
191,Thompson,tube,6.89,4055,0.0511,5.6,5.6,432,5.2
192,Thompson,tube,6.89,4055,0.0562,5.6,5.6,432,5.3
193,Thompson,tube,6.83,4069,0.1696,5.6,5.6,432,3.7
194,Thompson,tube,6.86,4069,0.1648,5.6,5.6,432,3.6
195,Thompson,tube,6.86,4069,0.0418,5.6,5.6,432,5.6
196,Thompson,tube,6.86,4069,0.0451,5.6,5.6,432,5.6
197,Thompson,tube,6.89,4069,0.0990,5.6,5.6,432,4.1
198,Thompson,tube,6.89,4069,0.0990,5.6,5.6,432,4.1
199,Thompson,tube,6.89,4069,0.0518,5.6,5.6,432,5.7
200,Thompson,tube,6.89,4069,0.0518,5.6,5.6,432,5.7
201,Thompson,tube,6.86,4123,0.0332,5.6,5.6,432,5.5
202,Thompson,tube,6.96,4123,0.0302,5.6,5.6,432,5.5
203,Thompson,tube,7.03,3852,0.1856,5.6,5.6,864,2.9
204,Thompson,tube,6.96,4123,0.0947,5.6,5.6,864,3.4
205,Thompson,tube,7.00,4421,0.0713,5.6,5.6,864,3.5
