V,I
0.7,0
0.8,0
0.9,0
1,0
7.8,0
9.8,0.01
10.4,0.02
11,0.03
11.5,0.04
11.9,0.05
12.5,0.06
13.1,0.07
14.1,0.08
14.8,0.09
15.4,0.1
15.8,0.11
16.7,0.12
18.5,0.13
21.6,0.12
23.4,0.11
25.3,0.12
25.5,0.13
25.9,0.14
26.4,0.15
26.9,0.13
27.3,0.17
28.2,0.18
28.7,0.19
29.2,0.2
30.6,0.21
31.8,0.2
32.6,0.19
33.1,0.18
33.6,0.17
34,0.16
34.2,0.15
34.6,0.14
34.8,0.13
35.1,0.12
36.2,0.13
36.7,0.14
37,0.15
37.3,0.16
37.4,0.17
37.7,0.18
37.9,0.19
38.1,0.2
38.2,0.21
38.5,0.22
38.8,0.23
39,0.24
39.2,0.25
39.4,0.26
39.6,0.27
39.9,0.28
40.2,0.29
40.5,0.3
40.9,0.31
41.3,0.32
42.4,0.33
42.9,0.32
43.7,0.31
44,0.3
44.3,0.29
44.5,0.28
44.7,0.27
44.9,0.26
45,0.25
45.2,0.24
45.4,0.23
45.6,0.22
45.7,0.21
45.9,0.2
46,0.19
46.2,0.18
46.7,0.17
47.5,0.18
47.7,0.19
47.8,0.2
47.9,0.21
48.1,0.22
48.2,0.23
48.3,0.24
48.4,0.25
48.6,0.26
48.7,0.27
48.8,0.29
49,0.3
49.2,0.31
49.3,0.32
49.4,0.33
49.5,0.34
49.6,0.35
49.8,0.37
50,0.39
50.2,0.42
50.3,0.45
50.4,0.44
50.5,0.45
50.8,0.47
51,0.48
51.1,0.49
51.3,0.5
51.5,0.52
51.7,0.53
51.8,0.54
51.9,0.55
52.2,0.56
52.4,0.57
52.8,0.58
53,0.59
53.5,0.6
54.9,0.58
55.2,0.57
55.4,0.56
55.6,0.54
55.8,0.53
56.1,0.51
56.4,0.48
56.6,0.46
56.8,0.44
56.9,0.43
57,0.42
57.1,0.4
57.3,0.38
57.4,0.36
57.7,0.33
58,0.31
58.2,0.29
59,0.3
59.4,0.33
59.8,0.38
60.2,0.42
60.5,0.46
60.7,0.48
61.1,0.54
61.3,0.57
61.5,0.6
61.7,0.63
61.9,0.67
62.4,0.73
62.7,0.77
63.3,0.82
64.1,0.89
64.5,0.91
64.6,0.95
65,0.96
65.6,0.97
66.1,0.96
66.2,0.95
66.3,0.94
66.4,0.93
66.5,0.92
66.7,0.91
67,0.9
