,feature1,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,label,feature2
0,1.16093,0.5704563,-0.15109032,0.5304491,-0.4865301,-1.0496261,-0.8378136,0.4130074,0.46288803,0.2611485,1.4092964,1.2219149,-0.44871446,1.69501,-0.73149264,0.19616692,-0.025329892,0.49638748,-0.36620426,0.9438367,1.0004598,1.3984914,0.5157159,-0.008849174,0.041806985,-0.40965977,0.13494867,0.2019741,1.2968982,-0.52186114,1.0643288,-0.06762172,0.084389836,b,0
1,0.40582135,0.29247212,-0.18067239,0.084330276,-0.0321545,0.039319374,-0.20459706,-0.11486172,0.14622562,0.25834835,0.21139888,0.60824925,-0.3595119,0.52798843,-0.4211652,0.046369936,0.09349035,-0.08361216,-0.022350594,0.13812444,-0.19031405,0.6435915,-0.1325804,-0.030562636,0.051660858,0.00279147,0.15909281,0.1757639,0.43931553,-0.24621178,0.5829997,0.16971996,0.043985963,g,0
2,0.6043582,0.65323347,-0.10327958,0.37842798,-0.49328753,-0.24773635,-0.8141109,-0.36175257,0.22271149,0.31648606,0.82179594,1.2538307,-0.44544932,1.3260251,-0.4354703,-0.03671717,-0.06534016,0.009215321,-0.2253415,0.30614385,0.33783072,1.1766155,0.09120296,0.18911408,-0.293256,-0.1312992,0.3185668,-0.18645307,1.0354956,-0.49741295,1.1133608,0.055375222,-0.23473114,b,0
3,0.3982046,0.25028706,-0.18558238,0.44274157,-0.4513896,-0.38386586,-0.34339482,-0.0046414067,0.01663327,0.28533167,0.4965222,0.71822304,-0.2965741,0.6327049,-0.28450558,-0.11078259,-0.09141189,-0.008098032,-0.49983558,0.19842774,0.09651902,0.55532473,0.24398184,-0.014069285,-0.08080287,-0.20335674,0.09263288,0.085173994,0.6269323,-0.28904954,0.5229131,0.074842095,-0.2354529,g,0
4,0.47204065,0.42375743,-0.20823811,0.5443436,-0.38430375,-0.17968774,-0.37964392,-0.026191445,-0.043614976,0.4913562,0.61567354,1.0402024,-0.27418333,0.7117556,-0.5220281,0.05065432,-0.031490304,0.10259475,-0.58601344,0.20287398,0.13918684,0.6771429,0.21342349,-0.089670524,-0.038290728,-0.25443387,0.084491126,0.30878952,0.5194038,-0.29706007,0.73047894,0.11117628,-0.037906177,g,0
5,0.75960404,0.4550975,0.063123636,0.5229053,-0.68136203,-0.8071105,-0.60602015,0.18404275,0.2245254,-0.16827525,0.71047467,0.8578556,-0.4301575,1.1854242,-0.28409752,0.18692158,-0.059158284,-0.29722285,0.06264432,0.08297556,-0.00097013265,1.1832864,0.18274891,0.06560868,-0.3653048,0.2660815,0.009301946,-0.025529392,0.69544894,-0.2783754,1.0278807,0.2164297,-0.041232906,b,0
6,0.574593,0.46244606,-0.05924551,0.38579097,-0.34042397,-0.4075573,-0.51044214,0.1063829,0.21339515,0.16736034,0.67226875,0.8497533,-0.31475693,0.8451229,-0.5109409,0.093406975,-0.14168072,0.0708313,-0.21962674,0.26112038,0.3128472,0.7839625,0.15074897,0.040034533,-0.04341919,-0.06390617,0.083665244,0.13745758,0.7011233,-0.22222474,0.73914665,0.07378215,-0.0016256701,g,0
7,0.23484811,0.46169075,-0.49699566,0.5162523,-0.18004821,-0.09090708,-0.1410302,-0.336,0.27055028,0.6497196,0.449741,1.04661,-0.46952802,0.6966844,-0.39220327,0.2336911,0.1569283,-0.06503372,-0.3338482,0.16482683,0.09317449,0.95048314,-0.28116676,-0.12764138,-0.07282273,-0.16529283,0.22737725,-0.16649419,0.7418713,-0.52766633,1.0741711,0.15876244,0.07215008,b,0
8,0.5858525,0.44795707,0.17038979,0.52788574,-0.5575592,-0.54317784,-0.46310115,0.17523442,0.24958031,0.009814931,0.43195814,0.9174374,-0.14167392,0.759599,-0.04287298,-0.054258056,-0.05725969,-0.039703008,-0.05820683,0.09189022,0.058243982,1.0925555,0.36209556,0.18742204,-0.42841792,0.17199966,-0.027892888,-0.016847458,0.37319747,0.027682874,0.60008097,0.3025567,-0.09625669,b,0
9,0.5794856,0.21941495,-0.09108373,0.21393624,-0.24586582,-0.3019666,-0.5031569,0.12648082,0.14656119,-0.17944466,0.21945556,0.6249893,-0.34846142,0.6181951,-0.058621097,0.29396614,0.39971918,0.26144764,-0.20434788,0.607896,-0.07210492,0.6953968,0.3177856,-0.08959719,-0.047792576,-0.3324301,0.106252275,-0.11606587,0.27405858,-0.16572233,0.28690678,-0.08261049,-0.20085533,g,0
10,0.8727116,1.0504429,0.49254236,0.28992137,-0.53149736,-0.80196035,-1.3225462,-0.041190058,0.3063504,-0.19660214,1.1005752,1.40468,-0.42555642,1.3529619,-0.9664303,0.34861434,-0.018862635,0.01905283,0.03455134,0.5248034,0.6075345,1.5162481,0.40358382,-0.1422461,-0.44628316,-0.3159835,0.08422119,0.14002776,0.82490844,-0.02967063,1.1701137,0.20555018,0.17996234,b,0
