Shape,b1 (mm),d1 (mm),davg (mm),ravg,b* (mm),b*/davg,fc (MPa),fy (MPa),Pu (kN)
C,51,,38.1,0.020138414,39.8982267,1.047197551,13.14588843,550,24
S,76,,29.972,0.0177,76.2,2.542372881,26.332005,396,31
C,102,,38.1,0.020138414,79.7964534,2.094395102,13.14588843,550,33
S,76,,31.75,0.0098,76.2,2.4,28.008869,332,34
C,102,,38.1,0.020138414,79.7964534,2.094395102,13.14588843,550,34
C,51,,38.1,0.020138414,39.8982267,1.047197551,13.14588843,550,35
C,102,,38.1,0.020138414,79.7964534,2.094395102,13.14588843,550,36
S,100,,35,0.006904599,100,2.857142857,35.325,530,38
C,76,,38.1,0.013089969,59.84734005,1.570796327,18.9302225,386,39
S,76,,38.1,0.013089969,76.2,2,26.201,303,43
S,100,,40.5,0.005171346,100,2.469135802,28.05,530,44
S,114,,38.1,0.013089969,114.3,3,21.8123325,303,47
S,100,,40.5,0.005585054,100,2.469135802,28.8,530,49
S,100,,40.5,0.006018377,100,2.469135802,31.875,530,49
C,152,,38.1,0.020138414,119.6946801,3.141592654,13.14588843,550,49
S,76,,38.1,0.026179939,76.2,2,22.0743425,318,50
S,152,,38.1,0.013089969,152.4,4,19.7162525,296,51
S,100,,40.5,0.006912195,100,2.469135802,31.875,530,52
S,100,,40.5,0.008024502,100,2.469135802,28.05,530,55
S,100,,40.5,0.008213314,100,2.469135802,32.625,530,56
S,100,,40.5,0.006912195,100,2.469135802,28.8,530,57
S,100,,40.5,0.00883711,100,2.469135802,32.625,530,57
S,100,,35,0.012822827,100,2.857142857,35.325,530,57
C,114,,38.1,0.013089969,89.77101008,2.35619449,20.9608,296,58
C,100,,55,0.003499992,78.53981634,1.427996661,38.95,448,60
S,102,,45.72,0,102,2.230971129,25.7121445,359,61
S,51,,63.5,0.008726646,50.8,0.8,21.87,376,64
S,100,,40.5,0.010266643,100,2.469135802,32.625,530,66
S,100,,46.5,0.006909661,100,2.150537634,27,530,66
S,100,,40.5,0.011081456,100,2.469135802,28.05,530,67
S,152,,38.1,0.026179939,152.4,4,20.567785,411,69
S,51,,60.8,0.018512592,50.8,0.835526316,19.2375,376,71
S,100,,40.5,0.011635528,100,2.469135802,27.825,530,71
S,100,,40.5,0.012928365,100,2.469135802,27.825,530,71
C,154,,38.1,0.013089969,120.8916269,3.17300858,21.05905375,387,73
S,100,,35,0.019703369,100,2.857142857,28.95,530,73
S,229,,38.1,0.013089969,228.6,6,20.1092675,296,78
S,102,,63.5,0.008726646,101.6,1.6,19.575,376,78
C,102,,38.1,0.020138414,79.7964534,2.094395102,13.14588843,550,78
S,100,,40.5,0.01454441,100,2.469135802,27.825,530,79
S,229,,38.1,0.026179939,228.6,6,19.5852475,396,80
C,100,,60,0.0069,78.53981634,1.308996939,27.975,250,82
C,100,,60,0.0069,78.53981634,1.308996939,26.025,250,82
C,114,,38.1,0.01484309,89.77101008,2.35619449,42.7731325,321,82
C,114,,38.1,0,89.77101008,2.35619449,49.25788,321,83
S,76,,63.5,0.008726646,76.2,1.2,20.7225,376,83
S,102,,45.72,0,102,2.230971129,25.77351,440,83
C,114,,38.1,0,89.77101008,2.35619449,50.960945,321,84
S,100,,40.5,0.01994662,100,2.469135802,31.875,530,85
S,102,,45.72,0,102,2.230971129,26.3257995,462,87
S,102,,45.72,0,102,2.230971129,27.9213025,368,88
S,127,,63.5,0.008726646,127,2,18.63,376,88
S,152,,63.5,0.008726646,152.4,2.4,15.525,376,88
S,100,,53.5,0.006863535,100,1.869158879,30.375,530,88
S,305,,38.1,0.013089969,304.8,8,19.4542425,295,90
S,100,,46.5,0.012937238,100,2.150537634,27,530,90
C,100,,60,0.0106,78.53981634,1.308996939,24.75,250,94
C,224,,38.1,0.013089969,175.9511797,4.618141201,24.4324325,392,96
C,154,,38.1,0.026179939,121.091118,3.178244568,20.43678,379,97
S,100,,46.5,0.019614522,100,2.150537634,28.95,530,97
C,100,,60,0.0106,78.53981634,1.308996939,24.6,250,98
C,119,,82,0.0104,93.46238144,1.13978514,10.366,385,98
C,100,,60,0.0156,78.53981634,1.308996939,24.75,250,100
C,302,,38.1,0.013089969,237.1949577,6.225589442,22.79487,386,101
C,100,,60,0.0106,78.53981634,1.308996939,26.775,250,104
C,100,,60,0.0106,78.53981634,1.308996939,25.575,250,104
S,102,,60.8,0.018512592,101.6,1.671052632,19.1025,376,105
C,80,,64,0.010471976,62.83185307,0.981747704,32.175,480,105
C,80,,64,0.010471976,62.83185307,0.981747704,33.9,480,105
C,152,,80.79121,0.014994045,119.6946801,1.481531005,13.78124029,450,108
S,100,,75,0.014959965,100,1.333333333,11.55,480,109
C,100,,60,0.0156,78.53981634,1.308996939,27.225,250,113
S,152,,51,0.0167,152,2.980392157,11.11320755,352,113
S,305,,38.1,0.026179939,304.8,8,24.9564525,387,114
C,119,,82,0.00736,93.46238144,1.13978514,8.875,456,117
C,80,,64,0.010471976,62.83185307,0.981747704,31.2,480,117
C,100,,64,0.0292,78.53981634,1.22718463,26.25,250,118
S,100,,60,0.011,100,1.666666667,37.05,382,120
S,152,,51,0.022,152,2.980392157,13.62264151,352,123
C,150,,95,0.008726646,117.8097245,1.240102363,8.925,494,123
S,100,,53.5,0.012890054,100,1.869158879,30.375,530,124
S,100,,53.5,0.019573786,100,1.869158879,26.1,530,126
C,102,,76.2,0.020138414,79.7964534,1.047197551,22.93161704,414,129
C,102,,76.2,0.020138414,79.7964534,1.047197551,23.41631846,414,129
C,102,,82.55,0.017523624,79.7964534,0.966643893,37.99145,531,129
S,100,,60,0.0195,100,1.666666667,37.05,382,135
S,152,,60.8,0.018512592,152.4,2.506578947,18.225,376,136
C,102,,76.2,0.020138414,79.7964534,1.047197551,21.48406281,414,136
S,150,,100,0.003528294,150,1.5,32.34,460,137
C,102,,82.55,0.017523624,79.7964534,0.966643893,37.99145,531,139
C,125,,98,0,98.17477042,1.001783372,24.975,720,145
C,125,,99,0,98.17477042,0.991664348,23.55,712,148
C,102,,82.55,0.017523624,79.7964534,0.966643893,37.99145,531,149
S,100,,100,0.005304952,100,1,34.3725,460,150
C,51,,130,0.00724359,39.8982267,0.306909436,24.89095,305,151
C,229,,80,0.013368479,179.5420202,2.244275252,12.72817,372,152
C,221,,82,0.01255,173.5729941,2.116743831,8.662,373,152
C,152,,72.5309,0.050105005,119.6946801,1.650257764,12.51053658,450,154
C,150,,93,0.016249617,117.8097245,1.266771231,11.175,464,154
C,152,,80.79121,0.014994045,119.6946801,1.481531005,23.75036944,450,160
S,201,,82,0.00893,201,2.451219512,8.733,466,162
S,100,,107,0.003670085,100,0.934579439,37.278,324,165
S,200,,79,0,200,2.53164557,26.4,480,165
S,200,,79,0.00750842,200,2.53164557,20.55,480,165
C,51,,130,0.00724359,39.8982267,0.306909436,24.89095,305,166
S,100,,60,0.0195,100,1.666666667,37.05,382,170
C,54,,118,0.00841498,42.41150082,0.359419499,32.175,628,170
C,140,,106,0.006668475,109.9557429,1.037318329,11.5395,350,172
S,100,,75,0.007479983,100,1.333333333,33.45,480,172
S,150,,100,0.005304952,150,1.5,33.15,460,174
S,200,,77,0.012046438,200,2.597402597,21.975,500,176
C,140,,111,0.006368093,109.9557429,0.990592278,11.5395,350,177
C,140,,110,0.006425985,109.9557429,0.999597663,11.5395,350,177
S,100,,75,0.015,100,1.333333333,27.645,382,180
C,229,,80,0.013368479,179.5420202,2.244275252,13.70726,456,181
C,221,,82,0.012,173.5729941,2.116743831,9.301,457,181
S,100,,75,0.014959965,100,1.333333333,36.075,480,182
C,140,,101,0.006998597,109.9557429,1.088670722,11.5395,350,183
C,140,,107,0.006606153,109.9557429,1.027623765,11.5395,350,183
C,100,,80,0.017951958,78.53981634,0.981747704,37.5,550,183
C,120,,101,0.007109686,94.24777961,0.933146333,23.925,678,183
S,100,,107,0.00734017,100,0.934579439,37.743975,324,184
C,120,,95.5,0.011748664,94.24777961,0.986887745,24,723,184
