FileName,Area,BoundingBoxArea,ConvexArea,Eccentricity,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,MaxIntensity,MinIntensity,MeanIntensity,Perimeter,filled_area,solidity,Porosity,Permeability
ALB (1).jpeg,2396.75,19255,17249,0.679167004,94.67015702,-23.34264474,138.0859201,105.2438035,134.2,71.6,113.8393473,814.126392,9713.8,0.668120314,0.208,10.23
ALB (10).jpeg,6049.5,47841,41345.5,0.63358776,175.4710746,-71.77001001,255.6005056,192.7835433,136.5,50.5,113.3349771,1492.345851,24397,0.605856851,0.208,10.23
BB (1324).jpg,247.7065217,2495.5,1988.021739,0.75959805,27.43682432,-1.18553437,42.84580699,25.99811742,230.6956522,132,198.4944981,201.1010853,995.173913,0.762305777,0.257,11.3
BB (1325).jpg,222.8627451,2208.666667,1768.607843,0.749335536,26.51390902,0.147622057,40.47789281,25.00105291,230.8235294,135.3529412,198.4555565,187.1619832,893.3921569,0.749453454,0.257,11.3
SD (249).jpeg,1499.1875,13141,10896.625,0.66750102,65.10135768,33.32192406,98.01833274,64.91966226,142.125,78.75,119.9326603,486.860457,6200.125,0.760002152,0.158,278.85
SD (25).jpeg,4051.75,33920,28344.33333,0.551347532,114.741532,1.571234619,195.7021456,146.5498336,153.3333333,72.33333333,122.2854556,790.3672435,16552.66667,0.62538144,0.158,278.85
TC (996).jpeg,1726.142857,15137.14286,12524.71429,0.748746189,62.95625248,6.003172508,101.9906162,73.91769531,194.1428571,95.42857143,154.253843,428.3808955,7050,0.660321988,0.256,336.94
TC (997).jpeg,2421.05,20595.2,18143.4,0.677703307,78.795603,16.09660722,127.0782366,95.11002269,195,78,145.409372,563.9886794,9932.4,0.690368683,0.256,336.94
TC (998).jpeg,6060.5,49284,45747.5,0.545441138,159.1150895,14.18184445,262.1837967,206.5637357,209,45.5,129.6326915,1344.391486,24881.5,0.501446125,0.256,336.94
TC (999).jpeg,2011.166667,16553.16667,14774.5,0.696204467,58.89894086,30.02271269,95.36498758,77.40289181,190.3333333,110,156.4426333,528.4425202,8397,0.694718302,0.256,336.94
