V,I
0.007,1.4
0.01,1.74
0.015,2.34
0.022,3.14
0.026,3.49
0.033,3.97
0.039,4.28
0.044,4.45
0.195,2.18
0.202,2.16
0.209,2.14
0.237,1.85
0.289,1.16
0.349,0.41
0.36,0.4
0.377,0.41
0.393,0.43
0.404,0.45
0.414,0.49
0.421,0.53
0.438,0.68
0.451,0.8
0.465,1.08
0.473,1.29
0.482,1.66
0.487,1.88
0.493,2.29
0.501,2.85
0.505,3.24
0.509,3.75
0.513,4.19
0.517,4.88
0.521,5.57
0.525,6.27
0.008,1.4
0.009,1.63
0.01,1.68
0.01,1.74
0.011,1.82
0.012,1.97
0.013,2.09
0.014,2.2
0.015,2.32
0.016,2.45
0.017,2.57
0.019,2.81
0.02,2.9
0.21,3.01
0.025,3.34
0.027,3.52
0.03,3.77
0.032,3.88
0.035,4.06
0.04,4.31
0.041,4.38
0.046,4.52
0.19,2.42
0.24,1.77
0.241,1.89
0.255,1.88
0.353,0.4
0.367,0.39
0.375,0.39
0.384,0.4
0.394,0.41
0.422,0.52
0.458,0.93
0.474,1.37
0.492,2.25
0.507,3.63
0.514,4.5
0.523,6.17
