id,carat,cut,color,clarity,depth,table,x,y,z,price
0,1.14,Ideal,G,VVS2,61.0,56.0,6.74,6.76,4.12,9013
1,0.76,Ideal,H,VS2,62.7,57.0,5.86,5.82,3.66,2692
2,0.84,Ideal,G,VS1,61.4,56.0,6.04,6.15,3.74,4372
3,1.55,Ideal,H,VS1,62.0,57.0,7.37,7.43,4.59,13665
4,0.3,Ideal,G,SI2,61.9,57.0,4.28,4.31,2.66,422
5,0.4,Ideal,F,VVS2,62.4,56.0,4.72,4.74,2.95,1088
6,1.52,Fair,J,VS1,65.4,58.0,7.22,7.17,4.7,7186
7,1.13,Ideal,F,SI1,59.7,57.0,6.82,6.79,4.06,5342
8,0.41,Ideal,E,VVS1,61.9,55.0,4.78,4.79,2.96,1367
9,0.24,Very Good,F,VVS2,62.0,58.0,3.95,3.98,2.46,552
10,0.81,Ideal,E,SI1,61.9,55.0,5.98,6.01,3.71,3913
11,1.2,Very Good,I,SI1,63.1,61.0,6.65,6.58,4.18,4301
12,1.24,Ideal,E,VS2,62.0,57.0,6.87,6.9,4.27,9240
13,1.0,Very Good,D,VS2,63.1,59.0,6.26,6.36,3.98,6440
14,0.51,Very Good,G,SI1,61.9,57.0,5.09,5.15,3.17,1261
15,0.38,Ideal,I,VS1,62.3,53.4,4.65,4.69,2.91,703
16,0.46,Ideal,E,VVS1,62.6,57.0,4.98,4.89,3.09,1661
17,0.51,Ideal,D,VS1,60.7,57.0,5.18,5.23,3.16,1826
18,0.35,Very Good,H,SI1,60.0,61.0,4.57,4.6,2.75,491
19,0.3,Very Good,G,VVS2,63.2,57.0,4.27,4.24,2.69,878
20,0.35,Very Good,F,SI2,62.8,55.0,4.48,4.53,2.83,460
21,0.4,Very Good,E,SI1,62.0,61.0,4.67,4.71,2.91,687
22,1.2,Very Good,F,VS2,62.9,55.0,6.75,6.8,4.26,8454
23,0.41,Very Good,E,VVS1,61.2,62.0,4.76,4.78,2.92,1184
24,1.02,Very Good,D,SI1,62.8,56.0,6.39,6.44,4.03,6047
25,0.3,Premium,H,SI1,62.9,58.0,4.24,4.22,2.66,540
26,0.4,Ideal,E,VS2,61.9,54.0,4.74,4.73,2.93,1020
27,1.07,Ideal,H,SI2,59.2,57.0,6.7,6.64,3.95,4314
28,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,4958
29,1.22,Premium,F,VS2,59.8,59.0,6.96,6.92,4.15,8417
30,0.91,Premium,E,VS1,62.9,56.0,6.21,6.13,3.88,5228
31,0.54,Ideal,E,SI1,61.5,56.0,5.26,5.22,3.23,1720
32,0.51,Very Good,E,VS2,63.3,55.0,5.12,5.09,3.23,1638
33,2.03,Very Good,I,VS2,59.9,59.0,8.32,8.24,4.96,16422
34,0.32,Premium,H,VS2,60.7,58.0,4.43,4.46,2.7,505
35,1.5,Very Good,J,VVS2,63.3,57.0,7.28,7.25,4.6,8427
36,1.21,Premium,J,VS1,61.0,60.0,6.88,6.83,4.18,4675
37,0.27,Ideal,G,VS2,61.5,56.0,4.16,4.18,2.56,490
38,0.3,Ideal,E,VVS2,61.9,57.0,4.32,4.28,2.66,1013
39,1.01,Good,H,SI2,64.1,56.0,6.37,6.3,4.06,3111
40,0.46,Very Good,E,VS2,62.6,58.0,4.91,4.96,3.09,1245
41,0.27,Very Good,D,VS1,59.9,58.0,4.17,4.24,2.52,470
42,1.0,Premium,E,VS1,63.0,60.0,6.38,6.32,4.0,7096
43,0.31,Ideal,G,VS2,62.0,57.0,4.37,4.34,2.7,698
44,1.02,Ideal,E,SI2,62.1,55.0,6.51,6.4,4.01,4798
45,0.4,Good,E,SI2,64.2,57.0,4.7,4.68,3.01,798
46,0.5,Ideal,G,VVS2,62.2,56.0,5.02,5.11,3.15,1760
47,0.3,Premium,F,VS2,62.8,58.0,4.28,4.25,2.68,776
48,0.8,Good,G,SI2,64.2,55.0,5.89,5.83,3.76,2246
49,2.01,Very Good,H,SI2,63.1,59.0,7.96,7.88,5.0,10184
50,0.3,Very Good,I,SI2,63.3,56.0,4.3,4.26,2.71,450
51,0.7,Very Good,H,SI2,63.4,55.0,5.59,5.64,3.56,2094
52,0.44,Very Good,E,VS1,59.7,59.0,4.94,5.01,2.97,1090
53,0.55,Ideal,E,SI1,62.3,56.0,5.23,5.26,3.27,1551
54,1.01,Ideal,G,VVS2,62.0,58.0,6.36,6.39,3.95,7597
55,0.54,Very Good,D,VS1,63.0,54.0,5.19,5.23,3.28,2016
56,0.53,Very Good,G,VS1,60.9,56.0,5.24,5.27,3.2,1636
57,0.35,Ideal,E,SI1,62.3,56.0,4.53,4.56,2.83,614
58,0.71,Ideal,E,SI1,60.5,56.0,5.81,5.84,3.53,3527
59,0.5,Very Good,J,SI2,60.7,57.0,5.11,5.13,3.11,947
60,0.42,Premium,G,VVS1,59.8,58.0,4.88,4.85,2.91,1235
