,Date,Close,Volume,Open,High,Low
2532,2014-01-22,1238.6,80262,1240.5,1243.5,1235.5
2531,2014-01-23,1262.5,41697,1235.1,1267.1,1230.8
2530,2014-01-24,1264.5,34998,1264.3,1273.2,1256.9
2529,2014-01-27,1263.5,63419,1269.9,1280.1,1252
2528,2014-01-28,1250.5,81426,1254.9,1261.9,1248
2527,2014-01-29,1262.2,115459,1255.8,1270.7,1248.3
2526,2014-01-30,1242.5,155053,1267.2,1267.8,1237.5
2525,2014-01-31,1239.8,111168,1244,1254.8,1238.2
2524,2014-02-03,1259.9,120942,1242,1266.1,1240.4
2523,2014-02-04,1251.2,86988,1257.9,1260.7,1246.8
2522,2014-02-05,1256.9,122164,1254.2,1274.5,1251.8
2521,2014-02-06,1257.2,84600,1257.7,1267.5,1252.5
2520,2014-02-07,1262.9,128223,1256.9,1272,1255.5
2519,2014-02-10,1274.7,90391,1265.4,1277.8,1264.7
2518,2014-02-11,1289.8,146167,1274.2,1294.4,1273.5
2517,2014-02-12,1295,104754,1290.1,1296.4,1283.9
2516,2014-02-13,1300.1,116071,1290.8,1303,1286.2
2515,2014-02-14,1318.6,139926,1302.2,1321.5,1299.9
2513,2014-02-18,1324.4,172646,1329,1332.4,1312.3
2512,2014-02-19,1320.4,106195,1322,1323,1308.9
2511,2014-02-20,1316.9,121375,1322.4,1325.3,1307.1
2510,2014-02-21,1323.6,102130,1323,1328.8,1315.9
2509,2014-02-24,1338,122318,1336,1339.2,1318.7
2508,2014-02-25,1342.7,120790,1336.4,1343.8,1331.2
2507,2014-02-26,1328,142780,1341.3,1345.6,1322.3
2506,2014-02-27,1331.8,115418,1329.5,1336.4,1324
2505,2014-02-28,1321.6,127886,1331.3,1333.6,1319.3
2504,2014-03-03,1350.3,153906,1332.4,1355,1330.7
2503,2014-03-04,1337.9,130176,1350,1352.9,1331.2
2502,2014-03-05,1340.3,91934,1334.8,1342,1332.7
2501,2014-03-06,1351.8,133481,1337,1353.9,1331.3
2500,2014-03-07,1338.2,173637,1350.7,1353.2,1326.6
2499,2014-03-10,1341.5,120938,1340.8,1344.9,1327.5
2498,2014-03-11,1346.7,145527,1339.5,1353,1337.8
2497,2014-03-12,1370.5,211485,1348.8,1371.3,1345.6
2496,2014-03-13,1372.4,169978,1367.8,1375.7,1364.9
2495,2014-03-14,1379,176638,1370.9,1388.4,1368.2
2494,2014-03-17,1372.9,147056,1383.1,1392.6,1361.9
2493,2014-03-18,1359,152400,1356.6,1367.9,1351.1
2492,2014-03-19,1341.3,186381,1331.2,1360.2,1327.8
2491,2014-03-20,1330.5,159982,1331.7,1335.3,1320.8
2490,2014-03-21,1336,50231,1330.2,1343.2,1329
2489,2014-03-24,1311.1,43646,1310.3,1335.6,1308.4
2488,2014-03-25,1311.4,42956,1309.2,1317.7,1305.9
2487,2014-03-26,1303.4,49136,1312,1317,1299.4
2486,2014-03-27,1294.8,127230,1305.2,1307.5,1289.7
2485,2014-03-28,1294.3,161938,1292.3,1299.4,1286.1
2484,2014-03-31,1283.8,126180,1295,1299.3,1282.7
2483,2014-04-01,1280,102814,1284.6,1288.4,1277.4
2482,2014-04-02,1290.8,117467,1279.6,1294.9,1278.9
2481,2014-04-03,1284.6,95566,1290.4,1294.2,1281.9
2480,2014-04-04,1303.5,127900,1286.6,1307.5,1284.4
2479,2014-04-07,1298.3,72983,1304,1304.8,1295.8
2478,2014-04-08,1309.1,111942,1296.8,1314.7,1296.8
2477,2014-04-09,1305.9,120700,1308.5,1315.5,1301.1
2476,2014-04-10,1320.5,118683,1311.9,1324.9,1311
2475,2014-04-11,1319,84126,1318.1,1324.2,1314
2474,2014-04-14,1327.5,94712,1321,1331.4,1318.7
2473,2014-04-15,1300.3,176565,1290.5,1328.4,1284.4
2472,2014-04-16,1303.5,110052,1303.2,1307.1,1293.5
2471,2014-04-17,1293.9,91061,1302.1,1304.4,1292.8
2469,2014-04-21,1288.5,97714,1294.9,1302.5,1281.8
2468,2014-04-22,1281.1,111970,1290.3,1293.1,1275.8
2467,2014-04-23,1284.6,94896,1284,1289.1,1280.8
2466,2014-04-24,1290.6,181613,1283.9,1299,1268.4
2465,2014-04-25,1300.8,103095,1293.8,1305.2,1290.4
2464,2014-04-28,1299,95970,1303.2,1306.6,1292.1
2463,2014-04-29,1296.3,98134,1296,1302,1286.1
2462,2014-04-30,1295.9,135540,1295.6,1298.4,1284.9
2461,2014-05-01,1283.4,110658,1291.9,1293,1277.3
2460,2014-05-02,1302.9,165807,1284.7,1304.9,1272
2459,2014-05-05,1309.3,111036,1300.9,1315.8,1299.7
2458,2014-05-06,1308.6,100069,1309.7,1314.3,1304.4
2457,2014-05-07,1288.9,167867,1307.9,1315,1286.6
2456,2014-05-08,1287.7,113708,1289.8,1295.5,1284.8
2455,2014-05-09,1287.6,103679,1289.6,1294.5,1285.5
2454,2014-05-12,1295.8,126248,1289.8,1304.5,1277.7
2453,2014-05-13,1294.8,117087,1296,1299,1289.1
2452,2014-05-14,1305.9,113527,1293.9,1309.2,1291.6
2451,2014-05-15,1293.6,142454,1305.5,1307.3,1290.9
2450,2014-05-16,1293.4,103938,1296.4,1298.3,1287.7
2449,2014-05-19,1293.8,104869,1293,1305.7,1289.5
2448,2014-05-20,1294.6,123097,1293,1297.2,1286
2447,2014-05-21,1288.1,123195,1294.4,1296.3,1282.9
2446,2014-05-22,1295.2,18760,1292.1,1304.1,1290.5
2445,2014-05-23,1291.9,77183,1294.4,1295.9,1286.7
2443,2014-05-27,1265.7,88048,1293.5,1294.7,1263.4
2442,2014-05-28,1259.7,124675,1264,1267.5,1256.1
2441,2014-05-29,1257.1,133780,1259.2,1261.5,1251.4
2440,2014-05-30,1246,127954,1255.9,1260.6,1242.2
2439,2014-06-02,1244,87845,1250.5,1251,1241.1
2438,2014-06-03,1244.5,85769,1244.1,1247.9,1240.2
2437,2014-06-04,1244.3,72171,1244.9,1249.5,1242.8
2436,2014-06-05,1253.3,119944,1244.3,1257.9,1241.2
2435,2014-06-06,1252.5,109929,1253.7,1258.2,1245.7
2434,2014-06-09,1253.9,51490,1253,1257.3,1251.6
2433,2014-06-10,1260.1,100191,1252.7,1263.8,1250.1
2432,2014-06-11,1261.2,73562,1260.3,1265.5,1257.9
2431,2014-06-12,1274,114014,1261.1,1275.1,1260
2430,2014-06-13,1274.1,81163,1273.4,1278.1,1270.9
2429,2014-06-16,1275.3,94811,1276.8,1285.1,1270.5
2428,2014-06-17,1272,108934,1271.8,1273.5,1258
2427,2014-06-18,1272.7,85688,1272.1,1279.2,1266.5
2426,2014-06-19,1314.1,224721,1278.2,1322,1276.2
2425,2014-06-20,1316.6,152257,1320.3,1322.5,1307.1
2424,2014-06-23,1318.4,99633,1314.9,1319.2,1310.4
2423,2014-06-24,1321.3,113091,1318.1,1326.6,1314.5
2422,2014-06-25,1322.6,128616,1318.9,1325.6,1305.4
2421,2014-06-26,1317,124778,1318.7,1320.6,1306.8
2420,2014-06-27,1320,95604,1317.1,1323.1,1313.2
2419,2014-06-30,1322,117728,1316.8,1330.4,1311
2418,2014-07-01,1326.6,113226,1327.5,1334.9,1324
2417,2014-07-02,1330.9,108835,1327.1,1333.2,1322.1
2416,2014-07-03,1320.6,980,1321.1,1321.5,1319.8
2414,2014-07-07,1317,79110,1321.4,1321.7,1312.1
2413,2014-07-08,1316.5,126706,1320.8,1325.7,1314.3
2412,2014-07-09,1324.3,155101,1320.4,1333.4,1318.7
2411,2014-07-10,1339.2,167391,1325,1346.8,1325
2410,2014-07-11,1337.4,88470,1336.5,1340.4,1334.6
2409,2014-07-14,1306.7,199973,1339.5,1340.9,1302.2
2408,2014-07-15,1297.1,169612,1309.1,1314.4,1292.6
2407,2014-07-16,1299.8,109418,1295.2,1304.2,1293.5
2406,2014-07-17,1316.9,170360,1300.3,1325.9,1298.1
2405,2014-07-18,1309.4,116687,1319.1,1325.5,1305
2404,2014-07-21,1315.5,17260,1312.2,1320.4,1309.7
2403,2014-07-22,1308,14296,1314.8,1318,1304.2
2402,2014-07-23,1306.5,18529,1309.2,1313.3,1305.3
2401,2014-07-24,1292.7,31853,1306.7,1307,1289.4
2400,2014-07-25,1305.3,40213,1296,1311,1293
2399,2014-07-28,1305.8,56826,1309.2,1311.4,1303.3
2398,2014-07-29,1300.5,134585,1306.7,1314.6,1298
2397,2014-07-30,1296.9,123138,1300.5,1305.2,1293.2
2396,2014-07-31,1282.8,126684,1297,1298.8,1281.3
2395,2014-08-01,1294.8,130480,1284.2,1298.4,1281
2394,2014-08-04,1288.9,62664,1295.4,1296.4,1287
2393,2014-08-05,1285.3,95648,1289.2,1295,1283.3
2392,2014-08-06,1308.2,147308,1288.9,1311,1288.5
2391,2014-08-07,1312.5,117073,1306.6,1316.4,1303
2390,2014-08-08,1311,143432,1314.5,1324.3,1305.7
2389,2014-08-11,1310.5,60601,1310.4,1312.9,1306.4
2388,2014-08-12,1310.6,95741,1309.2,1319.3,1306.8
2387,2014-08-13,1314.5,95280,1309.6,1316.4,1306
2386,2014-08-14,1315.7,99903,1313.4,1321.8,1310
2385,2014-08-15,1306.2,182579,1313.4,1316.5,1293
2384,2014-08-18,1299.3,72640,1304.2,1304.9,1296.5
2383,2014-08-19,1296.7,74127,1298.6,1303.7,1294.7
2382,2014-08-20,1295.2,79933,1297.2,1299.3,1288.7
2381,2014-08-21,1275.4,131952,1279.5,1292,1273.4
2380,2014-08-22,1280.2,86655,1278.2,1283.9,1274.6
2379,2014-08-25,1278.9,50763,1280.8,1281.6,1275
2378,2014-08-26,1285.2,98932,1277.4,1291.9,1275.7
2377,2014-08-27,1283.4,63763,1281.6,1288.2,1280.9
2376,2014-08-28,1290.4,105911,1283.7,1297.6,1283
2375,2014-08-29,1287.4,71025,1290.4,1292.5,1284.1
2373,2014-09-02,1265,175680,1288.4,1290.9,1263.1
2372,2014-09-03,1270.3,99369,1266.7,1272.4,1261.9
2371,2014-09-04,1266.5,141572,1269.8,1279.2,1261.3
2370,2014-09-05,1267.3,99917,1261.7,1274.8,1258
2369,2014-09-08,1254.3,107957,1269.5,1272.6,1252.1
2368,2014-09-09,1248.5,121217,1257.1,1258.9,1248.1
2367,2014-09-10,1245.3,132235,1256.2,1258.5,1244.5
2366,2014-09-11,1239,149214,1249.8,1251,1235.3
2365,2014-09-12,1231.5,132948,1240.9,1242.3,1228.1
2364,2014-09-15,1235.1,90966,1228.3,1239.2,1226.3
2363,2014-09-16,1236.7,118971,1233.2,1243.2,1232.2
2362,2014-09-17,1235.9,125796,1235.3,1240.5,1222
2361,2014-09-18,1226.9,139959,1223.1,1228.7,1216.3
2360,2014-09-19,1216.6,169456,1225.6,1229.2,1214.2
2359,2014-09-22,1217.9,129276,1216.4,1221,1208.8
2358,2014-09-23,1222,147771,1214.9,1237,1214.7
2357,2014-09-24,1219.5,126788,1223.2,1226.7,1216.2
2356,2014-09-25,1221.9,174079,1217.3,1225.3,1206.6
2355,2014-09-26,1215.4,140910,1222.1,1232.7,1212.8
2354,2014-09-29,1218.8,100175,1219.1,1223.9,1215.3
2353,2014-09-30,1211.6,174232,1215.7,1220.7,1204.3
2352,2014-10-01,1215.5,139735,1209.4,1220,1205
2351,2014-10-02,1215.1,142807,1213.4,1224,1209.1
2350,2014-10-03,1192.9,179606,1213.9,1215.7,1190.3
2349,2014-10-06,1207.3,139665,1192,1209.9,1183.3
2348,2014-10-07,1212.4,135364,1207.8,1214.1,1203
2347,2014-10-08,1206,181661,1209.8,1224.5,1205.1
2346,2014-10-09,1225.3,157170,1221.1,1234,1219.3
2345,2014-10-10,1221.7,112422,1224,1225.7,1217.6
2344,2014-10-13,1230,117007,1224.8,1238,1223.6
2343,2014-10-14,1234.3,107239,1237.3,1238.6,1231.1
2342,2014-10-15,1244.8,250999,1233.3,1250.3,1222
2341,2014-10-16,1241.2,175162,1242.2,1245.6,1235.2
2340,2014-10-17,1239,111015,1239.5,1242.1,1232
2339,2014-10-20,1244.7,89814,1239.1,1249.3,1234.9
2338,2014-10-21,1251.7,143007,1246.8,1255.6,1245.7
2337,2014-10-22,1245.5,104839,1248.9,1250.2,1240.7
2336,2014-10-23,1229.1,133022,1241.7,1244.9,1226.3
2335,2014-10-24,1231.8,87609,1233.5,1234.7,1228.7
2334,2014-10-27,1229.3,76013,1230.6,1232.1,1225.2
2333,2014-10-28,1229.4,117653,1225.8,1235.5,1222.2
2332,2014-10-29,1224.9,125790,1227.8,1230.4,1208.2
2331,2014-10-30,1198.6,199565,1211.2,1216.5,1195.5
2330,2014-10-31,1171.6,284628,1174.2,1202.4,1160.5
2329,2014-11-03,1169.8,123328,1171.1,1173.4,1161
2328,2014-11-04,1167.7,128618,1164.6,1175,1163.4
2327,2014-11-05,1145.7,248355,1168.4,1169.3,1137.1
2326,2014-11-06,1142.6,156991,1140.8,1149,1137.2
2325,2014-11-07,1169.8,287074,1141.2,1179,1130.4
2324,2014-11-10,1159.8,191823,1176.8,1177.5,1146.7
2323,2014-11-11,1163,177153,1151.5,1172.5,1145.5
2322,2014-11-12,1159.1,176818,1163,1169.4,1156.5
2321,2014-11-13,1161.5,182262,1161.1,1167.4,1153
2320,2014-11-14,1185.6,283691,1161.8,1192.9,1146
2319,2014-11-17,1183.5,190706,1185.5,1193.6,1180.8
2318,2014-11-18,1197.1,162294,1185.6,1204.1,1182.7
2317,2014-11-19,1193.9,259726,1196.5,1201.7,1173.9
2316,2014-11-20,1190.9,179855,1183.1,1196.6,1176.2
2315,2014-11-21,1197.7,192712,1194,1207.6,1186.1
2314,2014-11-24,1196.6,69118,1200.7,1204.5,1192.8
2313,2014-11-25,1197.8,119619,1198.2,1203,1190
2312,2014-11-26,1197.5,390,1201.6,1198,1195.9
2310,2014-11-28,1175.5,240723,1189.8,1199.3,1163.9
2309,2014-12-01,1218.1,327764,1159.4,1221,1141.7
2308,2014-12-02,1199.4,156062,1212.6,1212.6,1191.4
2307,2014-12-03,1208.7,133221,1197.6,1215,1193.5
2306,2014-12-04,1207.7,111730,1209.3,1213.5,1201.1
2305,2014-12-05,1190.4,144926,1205.9,1208.5,1186.4
2304,2014-12-08,1194.9,99059,1191.2,1209.3,1187.3
2303,2014-12-09,1232,228024,1203.8,1239,1199.5
2302,2014-12-10,1229.4,135569,1231.2,1238.9,1225.2
2301,2014-12-11,1225.6,136860,1226.2,1233.4,1216.4
2300,2014-12-12,1222.5,116467,1227.9,1228.9,1214.8
2299,2014-12-15,1207.7,145843,1222,1225,1191.3
2298,2014-12-16,1194.3,221571,1195.4,1223.9,1187.8
2297,2014-12-17,1194.5,154962,1195.3,1203.1,1182
2296,2014-12-18,1194.8,129127,1189.4,1213.9,1188.5
2295,2014-12-19,1196,68747,1198,1201.5,1193.2
2294,2014-12-22,1179.8,122922,1196,1203.6,1170.7
2293,2014-12-23,1178,92893,1176.1,1184.9,1172.4
2292,2014-12-24,1173.5,40192,1176.8,1181.2,1172.7
2290,2014-12-26,1195.3,65571,1175.2,1199.1,1175.2
2289,2014-12-29,1181.9,78521,1194.9,1197.5,1178.6
2288,2014-12-30,1200.4,131961,1182.9,1210.9,1180.5
2287,2014-12-31,1184.1,67231,1199.8,1203.9,1179.5
2285,2015-01-02,1186.2,112280,1184,1194.9,1167.3
2284,2015-01-05,1204,142942,1187.8,1207.5,1177.8
2283,2015-01-06,1219.4,180653,1204,1223.3,1201.6
2282,2015-01-07,1210.7,111150,1219,1219.4,1209.1
2281,2015-01-08,1208.5,113091,1211,1216.8,1204.2
2280,2015-01-09,1216.1,148809,1208.9,1224,1207
2279,2015-01-12,1232.8,132313,1223,1236,1217.5
2278,2015-01-13,1234.4,168374,1233.1,1244.5,1227.4
2277,2015-01-14,1234.5,184208,1231.2,1244.6,1224.9
2276,2015-01-15,1264.8,272750,1229.7,1267.2,1226.1
2275,2015-01-16,1276.9,204198,1263.5,1282.4,1255.2
2273,2015-01-20,1294.2,231185,1276.3,1297.2,1272.1
2272,2015-01-21,1293.7,195098,1295.3,1307,1284.6
