Alloy(wt%),type,Cr,Co,Mo,W,Ta,Nb,Al,Ti,Fe,C,B,Zr,Re,Hf,Ru
718Plus,wrought,19,9,2.8,1.1,0,5.6,1.45,0.75,9,0.025,0.0055,0,0,0,0
CMSX2,SX,8,4.6,0.6,7.9,5.8,0,5.6,0.9,0,0,0,0,0,0,0
CMSX4,SX,5.7,11,0.42,5.2,5.6,0,5.2,0.74,0,0,0,0,3,0.1,0
CMSX6,SX,9.8,5,3,0,2.1,0,4.8,4.7,0,0,0,0,0,0,0
CMSX10,SX,2,3,0.4,5,8,0.1,5.7,0.2,0,0,0,0,6,0.03,0
FT750DC,wrought,20,0,0,3.5,0,0,2.3,2.1,5,0.07,0.005,0,0,0,0
Hastelloy X,wrought,22,1.5,9,6,0,0,0,0,18.5,0.1,0,0,0,0,0
Hastelloy S,wrought,15.5,0,14.5,0,0,0,0.2,0,1,0.02,0.009,0,0,0,0
Inconel 600,wrought,15.8,0,0,0,0,0,0,0,7.2,0.04,0,0,0,0,0
Inconel 718,wrought,18.6,0,3.1,0,0,5,0.4,0.9,18.5,0.04,0,0,0,0,0
Inconel 625,Deposited,22,0.1,9,0,0,3.5,0.1,0.2,3,0.01,0,0,0,0,0
MA758,MA/ODS,30,0,0,0.5,0,0,0.3,0,0,0.05,0,0,0,0,0
MA760,MA/ODS,19.5,0,0,3.4,0,0,6,0,1.2,0.06,0,0,0,0,0
MA6000,MA/ODS,15,0,0,3.9,0,0,4.5,2.3,1.5,0.06,0,0,0,0,0
MAR-M200,cast,9,10,0,12,0,1,5,2,0,0.15,0.015,0.05,0,0,0
Nimonic 80A,wrought,19.5,1.1,0,0,0,0,1.3,2.5,0,0,0.06,0,0,0,0
Nimonic 105,wrought,14.5,20,5,0,0,0,0,1.2,4.5,0,0.2,0,0,0,0
PM1000,MA/ODS,20,0,0,0,0,0,0.3,0.5,3,0,0,0,0,0,0
Rene N5,SX,7,8,2,5,7,0,6.2,0,0,0,0,0,3,0.2,0
Rene N6,SX,4.2,12.5,1.4,6,7.2,0,5.75,0,0,0,0,0,5,0.15,0
Rene 41,wrought,19,11,10,0,0,0,1.5,3.1,0,0.09,0.05,0,0,0,0
RR2000,SX,10,15,3,0,0,0,0.05,4,0,0,0,0,0,0,0
RR3000,SX,2.3,3.3,0.4,5.5,8.4,0,5.8,0.2,0,0,0,0,6.3,0.03,0
UCSX1,SX,2.3,6,1.5,7,8.4,0,5.8,0.2,0,0,0,0,6.3,0.03,2
UCSX8,SX,2.3,6,3,6,8.4,0,5.8,0.2,0,0,0,0,6.3,0.03,6
SRR99,SX,8.5,5,0,9.5,2.8,0,5.5,2.2,0,0,0,0,0,0,0
TMS 63,SX,6.9,0,7.5,0,8.4,0,5.8,0,0,0,0,0,0,0,0
TMS75,SX,3,12,2,6,6,0,0,0,0,0,0,0,5,0.1,0
TMS138,SX,3,12,3,6,6,0,0,0,0,0,0,0,5,0.1,2
TMS162,SX,2.9,5.8,3.9,5.8,5.6,0,5.8,0,0,0,0,0,4.9,0.1,6
Udimet 500,wrought,18,18.5,4,0,0,0,2.9,2.9,0,0.08,0.006,0.05,0,0,0
Udimet 700,wrought,15,18.5,5.2,0,0,0,4.3,3.5,0,0.08,0.03,0,0,0,0
Waspaloy,wrought,19.5,13.5,4.3,0,0,0,1.3,3,0,0.08,0.006,0.06,0,0,0
Astroloy,PM,14.9,17.2,5.1,0,0,0,4,3.5,0,0.025,0,0.04,0,0,0
