distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
0.859897172,69,28,7.5,0,10.0,75,8.0,29.82,0
0.628534704,69,28,7.5,0,10.0,77,5.0,29.85,0
0.39717223700000004,69,28,7.5,0,10.0,70,0.0,29.89,5418
0.165809769,69,28,7.5,0,10.0,33,0.0,29.91,25477
0.065552699,69,28,7.5,0,10.0,21,3.0,29.89,30069
0.296915167,69,28,7.5,0,10.0,20,23.0,29.85,16280
0.528277635,69,28,7.5,0,10.0,36,15.0,29.83,515
0.759640103,69,28,7.5,0,10.0,49,6.0,29.86,0
0.8621134020000001,72,29,6.8,0,10.0,67,6.0,29.86,0
0.630154639,72,29,6.8,0,10.0,49,0.0,29.87,0
0.398195876,72,29,6.8,0,10.0,54,0.0,29.9,4939
0.16623711300000002,72,29,6.8,0,10.0,64,0.0,29.92,24335
0.06572164900000001,72,29,6.8,0,10.0,23,9.0,29.88,29025
0.297680412,72,29,6.8,0,10.0,30,18.0,29.84,15408
0.529639175,72,29,6.8,0,10.0,65,11.0,29.84,491
0.761597938,72,29,6.8,0,10.0,75,5.0,29.85,0
0.86545925,73,29,7.9,0,10.0,72,6.0,29.84,0
0.6326002589999999,73,29,7.9,0,10.0,78,6.0,29.86,0
0.399741268,73,29,7.9,0,10.0,63,0.0,29.88,4854
0.166882277,73,29,7.9,0,10.0,69,3.0,29.88,23855
0.065976714,73,29,7.9,0,10.0,33,10.0,29.84,28339
0.298835705,73,29,7.9,0,10.0,27,20.0,29.81,15308
0.531694696,73,29,7.9,0,10.0,53,14.0,29.81,455
0.764553687,73,29,7.9,0,10.0,70,6.0,29.85,0
0.86770428,76,30,6.9,0,10.0,73,0.0,29.83,0
0.634241245,76,30,6.9,0,10.0,78,6.0,29.82,0
0.40077821,76,30,6.9,0,10.0,70,0.0,29.84,4750
0.167315175,76,30,6.9,0,10.0,64,3.0,29.85,23555
0.06614786,76,30,6.9,0,10.0,62,6.0,29.79,27741
0.299610895,76,30,6.9,0,10.0,30,15.0,29.75,14917
0.53307393,76,30,6.9,0,10.0,27,17.0,29.74,429
0.766536965,76,30,6.9,0,10.0,33,5.0,29.77,0
0.869791667,77,29,8.5,0,10.0,53,3.0,29.77,0
0.635416667,77,29,8.5,0,10.0,70,7.0,29.76,0
0.4010416670000001,77,29,8.5,0,10.0,61,0.0,29.8,4804
