Temperature,Dissolved_Oxygen,pH,BioChemical_Oxygen_Demand,Fecal_Streptococci,Nitrate,Fecal_Coliform,Total_Coliform,Conductivity,Water_Quality
7.5,9.95,7.85,0.15,90,0.255,22.5,180,134.5,0
11,9.65,7.7,0.45,205,0.2,62.5,410,77,1
7.5,9.9,7.65,0.55,100,0.1,26,200,101.5,0
8.5,9.65,7.55,0.35,300,0.25,97.5,600,148,0
10,9.55,7.8,0.25,190,0.15,47.5,380,106,1
11,9.45,7.75,0.85,222.5,0.3,67,445,97.5,1
9.5,9.55,7.9,0.5,285,0.195,74.5,570,203.5,0
10.5,9.85,7.7,0.25,145,0.115,60,290,95.5,0
14.5,9.8,7.95,0.25,112.5,0.1,26.5,225,99,1
16.5,9.25,7.65,0.25,147.5,0.15,66,295,111.5,0
19,8.9,8.2,0.25,120,0.12,37.5,240,162,0
14.5,8.65,8.05,0.15,100,0.15,22,200,116,1
16,9.65,8.05,0.4,485,0.47,190.5,970,163,0
12.25,9.75,8,0.3,52.25,0.9,4,104.5,234.5,1
11.25,9.65,7.8,0.3,49.25,0.94,4,98.5,206.4,0
14.25,10.25,7.7,0.25,52.5,0.7,4.05,105,249.5,1
13.75,8.85,7.54,0.25,59.5,0.68,4,119,150.5,0
12.65,8.7,7.625,0.3,54.5,0.685,21,109,220,0
16.55,8.2,7.9,0.2,20.25,0.3,2,40.5,211.5,0
17,8.2,8.1,0.15,24,0.55,3,48,216.5,1
16.1,8.05,7.9,0.2,47.5,0.45,4,95,217,0
17.55,8.65,7.6,0.2,52.25,0.6,4.5,104.5,248,0
11.5,9.65,7.75,0.2,142.5,0.3,52.5,285,87.5,1
21.1,8.7,8,0,1,0.5,2,2,214,0
26,8.9,8,0,6500,0.5,2000,13000,215,0
20,7.75,7.6,1.05,41,0.25,38.5,82,209,1
21.5,8.15,7.85,1.2,89.75,0.35,86.5,179.5,252,0
21.5,8.2,7.7,1.2,60,0.25,68,120,260,0
21,7.95,8,1.35,240,0.55,292,480,255,0
20.5,7.6,7.75,1.55,337.5,0.7,375,675,275.5,0
20,7.9,7.55,1.35,217.5,0.65,300,435,295,0
20.5,8.3,7.75,1.3,277.5,0.55,357,555,256,0
20,7.8,7.8,1.3,210,0.8,220,420,254.5,1
19.5,8.3,7.7,1.2,187.5,0.45,172,375,253,0
23,8.15,7.7,1.2,187.5,0.7,230,375,261,0
9.5,8.85,7.9,0.9,411.5,0.75,55.9,823,1345,1
9.5,8.4,7.6,0.55,409.75,0.75,20.4,819.5,1339.5,1
11.25,8.6,7.55,0.6,423.5,0.785,105.9,847,1321,1
11.25,8.7,7.6,0.95,452.5,0.78,47.9,905,1293.5,1
12,8.65,7.75,0.95,430,0.87,35.9,860,1221,1
11.5,8.5,7.9,0.65,70.45,0.7,29,140.9,1330.5,1
11.5,8.5,7.7,0.7,177.5,0.75,48,355,1317,1
17,9.85,8.2,0.1,97.5,0.16,23,195,1174,1
16,9.8,7.85,0.45,125,0.255,22,250,680,1
12,7.65,7.85,0.25,42.95,0.58,19.4,85.9,1364.5,1
19.75,9.05,8.3,0.25,112.5,0.1,27.5,225,279,0
20,9.7,8.3,0.25,130,0.15,35,260,143.5,0
10.35,8.7,7.9,0.7,81.5,0.55,25.5,163,752.5,1
10.35,8.75,7.65,0.6,108.5,0.55,32,217,745,1
17.5,8.45,7.85,0,392.5,3.1,235,785,402,0
18,8.4,7.65,0,245,2.05,141.5,490,303.5,0
18,8.4,7.7,0,227.5,4.45,125.5,455,235.5,0
19,8.5,7.7,1,305,6.35,224.5,610,291,0
19,8.1,7.8,1.3,367.5,1.2,356.5,735,260,0
18,5.2,8,3.5,0,0,0,0,405,0
18,6.45,8.25,5.1,0,0.65,0,0,420,0
20.5,6.8,8.15,2.75,0,0.2,0,0,265,0
11,8.5,7.6,0.2,0,0,0,0,160,0
11,8.7,7.65,0.15,0,0,0,0,159,0
11,8.8,7.5,0.2,0,0,0,0,156.5,0
11,8.1,7.75,1,0,0,0,0,105.5,0
19,6.4,7.35,6.85,0,1.15,0,0,600,1
20.5,7.1,8.05,0.95,0,0,0,0,297,0
6.15,9.05,7.75,0.8,0,0,0,0,140,0
6.25,9,7.7,0.9,0,0,0,0,165,0
6,9.05,7.5,1.05,0,0,0,0,142.5,1
8.4,8.9,7.9,0.85,0,0,0,0,132,0
8.75,8.8,7.7,1.1,0,0,0,0,132.5,1
10.7,7.85,7.95,0.85,0,0,0,0,275,1
10.75,8,7.9,1.1,0,0,0,0,315.5,0
12.65,9.05,7.65,0.95,0,0,0,0,230.5,0
13.05,8.3,7.55,1.35,0,0,0,0,235,0
12.7,8.75,7.5,0.85,0,0,0,0,212,0
17.95,8.15,7.9,0.55,0,0.1,0,0,249.5,0
18.1,7.9,8.1,0.75,0,0.1,0,0,251.5,0
23,6.1,8.1,6.9,0,0.45,0,0,629,1
22,7.05,8.2,1.8,0,0.3,0,0,263,0
20.5,4.3,8.35,4.7,0,0.3,0,0,462.5,1
20.5,7.8,8.4,1.3,0,0.55,0,0,245.5,0
21,7.25,8.3,1.15,0,0.2,0,0,271,0
19.8,4.4,7.8,36.8,411.75,2.2,468.5,823.5,875,1
21,8.35,7.8,1.4,630,5.6,399,1260,338,0
15,6.95,7.8,0.2,27.95,0.75,3.4,55.9,331.5,0
15,6.95,7.7,0.25,35.45,0.9,30.9,70.9,920.5,1
16.25,7,7.65,0.2,30.45,0.85,3.9,60.9,323.5,0
16,6.7,7.55,0.2,32.95,0.6,3.95,65.9,333.5,0
15.5,6.9,7.6,0.2,35.45,0.55,3.9,70.9,354,0
16.25,6.85,7.6,0.2,37.95,0.6,3.95,75.9,300.5,0
17.5,7.05,7.95,0.3,56,0.85,4,112,496,1
